,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
FBXW7,138,silver,silver,2,0.2120436771157254,-0.31453543999869615,0.46108512024703996
AP3B1,140,silver,silver,2,0.3900668618535219,-0.35266960139097797,0.45840992676008563
NIPBL,140,silver,silver,2,0.3086018624192388,-0.30888062409935435,0.45662816806435047
PRKAG2,139,silver,silver,2,0.14598002476766533,-0.3404602918635482,0.45656541739532064
NCOR1,140,silver,silver,2,0.3306264989700324,-0.357906964955658,0.4553319373493923
SPATA13,141,silver,silver,2,0.16506949453302042,-0.2930655149329041,0.4544163949273105
CREBBP,140,silver,silver,2,0.18683979252996538,-0.2846061521051895,0.4534434938082572
PDE3B,141,silver,silver,2,0.10498479589850185,-0.5944342351187213,0.4525039116868679
VTI1A,139,silver,silver,2,0.37751168447745354,-0.3301843333184429,0.4462848439945364
USP15,140,silver,silver,2,0.12203751794639467,-0.3048938734488557,0.4453882525165166
TRAPPC9,140,silver,silver,2,0.2622923747629751,-0.35449386947006456,0.44314494096733664
ATXN2,138,silver,silver,2,0.389506070810822,-0.3255263163841565,0.44185005294935037
KDM6A,140,silver,silver,2,0.15088922283271902,-0.17416716769238708,0.43940194492893064
MON2,137,silver,silver,2,0.4121205041184444,-0.3078432030604068,0.4274348288759286
HERC4,141,silver,silver,2,0.23671960219633068,-0.3451946841379528,0.4271348691894024
RBM47,132,silver,silver,2,0.23367655587603642,-0.22442499143566003,0.42688771165599915
MARK3,140,silver,silver,2,0.19432304781555756,-0.35804861271088045,0.42335999135285457
EHMT1,141,silver,silver,2,0.25502212415406394,-0.40233580655819773,0.42312051289525693
ZMYM2,140,silver,silver,2,0.31295924976893924,-0.2731191335421389,0.4214158545138047
NR3C1,139,silver,silver,2,0.3311146802010803,-0.27106699571457626,0.4211650960445339
ZSWIM6,140,silver,silver,2,0.21679513725457014,0.04275689395694398,0.4188596926505816
ATR,139,silver,silver,2,0.39109256734860776,-0.3034590108415201,0.4170520598941768
TRPS1,137,silver,silver,2,0.2237499657326638,-0.22278440186325574,0.41510280347016537
BRWD1,138,silver,silver,2,0.38721941993279335,-0.3170986414704579,0.4105338144513702
NEK7,140,silver,silver,2,0.338233680519204,-0.263539248553851,0.4045395577962872
SOS1,141,silver,silver,2,0.04488290249147758,-0.4719815427948271,0.3996080926537973
CAMKMT,140,silver,silver,2,0.2885453603875244,-0.11600753133956468,0.39716454448759575
SLMAP,140,silver,silver,2,0.12598388999634172,-0.26677197368988254,0.3944158581232496
LRRFIP1,141,silver,silver,2,0.176992050237592,-0.11296058384635871,0.39261059417026045
ARID5B,140,silver,silver,2,-0.017479694667635114,-0.32084286128576367,0.3896667120105783
XPO1,138,silver,silver,2,0.181628145473026,-0.38787803243485297,0.38840015051949234
SETX,141,silver,silver,2,0.17870308579829602,-0.35223465981216434,0.38827466144899453
SFPQ,140,silver,silver,2,0.38455847764960455,-0.17076106671832883,0.3880462111474423
ASXL1,140,silver,silver,2,0.1908958099055082,-0.18886185772320285,0.38671744180291834
ZNF644,138,silver,silver,2,0.3555036534899486,-0.1317027254428435,0.38507262729694947
RANBP2,137,silver,silver,2,0.3287260564920296,-0.15667591080641574,0.3812853092496195
PHACTR2,139,silver,silver,2,0.05342854964155035,-0.3144250382494971,0.37280977722847564
SMARCC1,140,silver,silver,2,-0.07382923809416635,-0.39277646787303977,0.37200501094058147
TAOK1,139,silver,silver,2,0.1227495746195072,-0.31126744234870063,0.36949336598592764
TUT4,139,silver,silver,2,0.19433194204279713,-0.2682030841001875,0.3657702491895909
TBC1D22A,140,silver,silver,2,0.31436194036490983,-0.19670267537313246,0.36453601063576585
XRN1,140,silver,silver,2,0.2248782259766986,-0.1967178425841906,0.3638296482287109
SMG1,140,silver,silver,2,0.08697123957804703,-0.35433619517767606,0.3622279768988443
PTBP3,137,silver,silver,2,0.250774943687974,-0.21629952033720262,0.35704704383011227
GBF1,140,silver,silver,2,0.17165635377614424,-0.3085087276312116,0.35140527794441956
TRPC4AP,138,silver,silver,2,0.305041033475769,-0.29110905900695194,0.3501279285780257
LPIN2,141,silver,silver,2,0.10422210295080095,-0.37485469824782025,0.34941135614513563
RAB1A,139,silver,silver,2,0.11517829743254818,-0.2075794791064549,0.3445348819950565
COG5,138,silver,silver,2,0.24691334061397527,-0.23600812752377198,0.34379978279846385
RBM25,138,silver,silver,2,0.12623711007670366,-0.4106179744083145,0.34227282001220355
ASXL2,135,silver,silver,2,0.19474102896994056,-0.24918484976247077,0.3387642413391584
CAB39,137,silver,silver,2,0.2036087700163638,-0.15604639846602555,0.3384338877339581
PBRM1,138,silver,silver,2,0.26206078733323773,-0.16320091215361995,0.3383582021945428
RPTOR,137,silver,silver,2,0.3589377861408874,-0.30368806127329784,0.3383193828554529
BCLAF1,137,silver,silver,2,0.2824234008348736,-0.24834109028985607,0.33806580304633266
BRD4,141,silver,silver,2,0.1265631910694565,-0.3600675154304472,0.3318694729039174
NCOA2,141,silver,silver,2,0.24642793336610988,-0.10197621441205437,0.3312360708281886
STAG2,140,silver,silver,2,0.04953366126487209,-0.30660624819609,0.33033490131928933
WDR33,138,silver,silver,2,0.2844972668259781,-0.27947604959345573,0.3301579571695998
RAB10,140,silver,silver,2,0.2712286677903931,-0.3440070746788447,0.32932185896916105
VPS13C,140,silver,silver,2,0.35158261231130633,-0.1403036260151201,0.3289860565940024
SCAF11,140,silver,silver,2,0.16575226275668029,-0.27697790760863983,0.32532502544812897
DENND4C,140,silver,silver,2,0.23660271870861033,-0.1796708798141226,0.3242361412091944
BTAF1,137,silver,silver,2,0.32639434459037137,-0.13709909173294346,0.32393193585594876
ADAM10,140,silver,silver,2,0.23055077006025693,-0.15050415154948865,0.32316641342664004
ST3GAL1,140,silver,silver,2,0.1585398941484746,-0.32674408974914376,0.3228105531570176
ITCH,140,silver,silver,2,-0.00824039507399669,-0.3366560158660621,0.32019015021312436
ST6GAL1,138,silver,silver,2,0.24084469189387384,-0.0672774283870944,0.3188223187316255
DLEU2,140,silver,silver,2,0.023939295087934194,-0.26897561562909694,0.31536929518459755
LINC01578,139,silver,silver,2,0.0327371763969939,-0.21977481718851927,0.3090928187862562
AC016831-7,135,silver,silver,2,0.14876169398410807,-0.018932417497658147,0.3055952078795356
NEDD9,139,silver,silver,2,0.3281357362150054,-0.2812526262267145,0.30198105161129274
FAM214A,138,silver,silver,2,0.20747321589774667,-0.2463494011499764,0.299924217894896
SPPL3,136,silver,silver,2,0.28718454525132037,-0.12122963426500577,0.29411651658181925
SPPL2A,136,silver,silver,2,0.25898011327205356,-0.21802534678218313,0.2939670978244543
ITSN2,140,silver,silver,2,0.05114893565684425,-0.306306780903815,0.2921386361213409
MDM2,137,silver,silver,2,0.22644076028764715,-0.18741887651034098,0.2918426745561986
ACTR3,138,silver,silver,2,0.30040062878720536,-0.07448777198382617,0.27603052122666694
ACSL1,132,silver,silver,2,0.3443787143383623,-0.15063359420780692,0.2681377044362205
THRAP3,138,silver,silver,2,0.2930770010585233,-0.13067512172917736,0.26498307997714804
STT3B,139,silver,silver,2,0.3369177071726961,-0.16358347364284345,0.2592007767863392
HTT,139,silver,silver,2,0.32929606566510167,-0.17230273650253777,0.2542657682824744
TOP2B,135,silver,silver,2,0.33149516205797924,-0.232519840635263,0.25193121056804135
ARHGAP35,140,silver,silver,2,0.09390005678490736,-0.24820944928727623,0.24844413634715543
PPP3R1,141,silver,silver,2,0.12176968716207985,-0.26325481343906004,0.23752514812912617
PAK2,137,silver,silver,2,0.22455044997735446,-0.22134351116200626,0.22738199404445747
KDM5A,139,silver,silver,2,0.17517426781154394,-0.19886587213210413,0.2218378117745737
UBAC2,140,silver,silver,2,0.0257170005644877,-0.2002594368178306,0.21685253979815222
SNTB1,131,silver,silver,2,0.27761855093901555,-0.09916183445550346,0.21268294649400551
SMAD3,137,silver,silver,2,0.2767559971408422,-0.215748608292634,0.19992821912288383
RHOA,134,silver,silver,2,0.21889164007246142,-0.12259903676784001,0.19710131987690488
PTPN4,139,silver,silver,2,0.10922070295955193,0.024437009981403413,0.19617660466336212
KMT2A,141,silver,silver,2,0.23243496493189145,-0.172012621745015,0.19076783239103168
ARL15,140,silver,silver,2,-0.019901597715688148,-0.20583143261407041,0.19032067088705798
SPTAN1,140,silver,silver,2,0.12938139846606098,-0.17740862582807407,0.1875270640413344
EIF3A,140,silver,silver,2,0.024881811187724867,-0.25676510534424357,0.18412543091476216
