,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
HSP90AA1,141,black,black,0,-0.8873625250192743,0.0019407128653825454,-0.48403386915927077
CCND3,141,black,black,0,-0.8937016694988226,-0.05675126908089588,-0.21774503421182023
CDC42SE2,141,black,black,0,-0.8942178586039015,-0.1516332925992901,-0.14520769643112283
PIP4K2A,141,black,black,0,-0.8951134744093667,-0.04863121295104501,-0.1692410617088284
SMCHD1,141,black,black,0,-0.9026760016956482,-0.10062034166656213,-0.22975760645555657
PRKCH,141,black,black,0,-0.9098339805082225,0.03496540746725008,-0.3713184690584346
MTRNR2L12,92,black,black,0,-0.9165849223667206,-0.004745307318728113,-0.3096035598176202
MALAT1,141,black,black,0,-0.9181645830287763,-0.19683141342471647,-0.2964141810762003
BTG1,141,black,black,0,-0.9242892065034153,0.31420114749385786,-0.49350167392251276
MT-ND5,141,black,black,0,-0.9291787168256033,0.04572762655972121,-0.43571466527909486
MT-CYB,141,black,black,0,-0.9312679774743629,0.09286687346680743,-0.4651792957755266
FYN,141,black,black,0,-0.9323625887937323,0.02511109110506479,-0.338927749564005
MT-CO2,141,black,black,0,-0.9337166143565129,0.0820780119978934,-0.4571680923048045
MT-ND1,141,black,black,0,-0.9342003379269755,0.09188515009041442,-0.427858942840149
MT-ND3,141,black,black,0,-0.9370209242373507,0.06170553938594588,-0.34562775773017407
MT-ND2,141,black,black,0,-0.9437180077959201,0.06742761755187025,-0.41658242245945953
MT-CO3,141,black,black,0,-0.9449629048136952,0.07381506039489072,-0.4325334955684481
MT-ND4,141,black,black,0,-0.9543364794490291,0.06158542513283561,-0.4277836096179771
MT-ATP6,141,black,black,0,-0.954607489288,0.06272773039740999,-0.40706701850722377
MT-CO1,141,black,black,0,-0.9621323196058611,0.06221654500010287,-0.44541078341311824
