,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
RNF19A,99,black,black,0,0.03486816202773384,0.009876937601425682,-0.10682565965306756,-0.3857979101042915
UBE2E2,81,black,black,0,0.030953785029313265,-0.04994629630555765,0.13387185460362697,0.4313255185601554
STOM,99,black,black,0,0.03042408826886595,0.06510681078339677,0.03269026282798837,0.0930178340367371
MYH9,99,black,black,0,0.0009900018212163984,-0.6270852369986476,0.16076554436857327,0.3223504641208452
ATG10,97,black,black,0,-0.02051804889164848,0.20564094277409908,0.19524305206555226,0.3043457733424336
DENND5B,61,black,black,0,-0.02103728392886319,-0.12935645386522532,0.1360332299560946,0.40524008972409836
HDLBP,97,black,black,0,-0.024031455802198568,0.24634723847712103,0.176437484728948,0.27491059282219926
PPM1B,99,black,black,0,-0.031200741119375718,-0.1739639628149448,-0.11481049028913383,-0.26511384206432714
NFIC,96,black,black,0,-0.04357326662124814,0.13297754853843527,0.14017013081717183,0.3082796028841601
RNF213,99,black,black,0,-0.057528408374423495,-0.6217459912423232,0.18437963091929693,0.23476306566824404
PARD3B,69,black,black,0,-0.06147008945209009,-0.15148138833866429,0.29559794289136426,0.5348314750737801
PARD3,65,black,black,0,-0.06187033475259397,-0.04345053744704265,0.16695801019417275,0.3371997474590238
ASXL1,99,black,black,0,-0.06407713673002284,-0.364768032932391,0.07345431971130742,-0.0933386010912228
SPG11,99,black,black,0,-0.06764126700957628,-0.03821541639095196,0.11333316311591637,-0.15880100318934917
BRD4,99,black,black,0,-0.07565536454719843,-0.21798283564207036,0.2686585478807634,0.2014603784437523
HIPK2,99,black,black,0,-0.07840278344466003,-0.22642554700493178,0.0426963066114735,0.12886842504363352
RAB1A,99,black,black,0,-0.10986898234647365,-0.18137564976369383,0.13456039258855254,-0.0384178134821763
RNF115,99,black,black,0,-0.11231648728144045,-0.36616362406795716,0.21684329482223003,-0.0420061358132652
CEMIP2,99,black,black,0,-0.1365820558922744,-0.32873613289313763,0.23350471052744554,-0.10918011465223224
R3HDM2,99,black,black,0,-0.16863387550839432,-0.25776726793542315,0.4178051862270439,0.3016546873668695
ATXN2,99,black,black,0,-0.17055762960737303,-0.11081865923463156,0.3210182743644095,0.3053411561468737
BPTF,99,black,black,0,-0.17215297539924876,-0.5373853537566501,0.1367314031540651,-0.12902995441684786
MDM2,99,black,black,0,-0.1722465105828704,0.04946325218478895,0.0547287444149124,-0.20685932127606937
ZMYM4,98,black,black,0,-0.17595711138184514,0.03632017105642041,0.337897327809153,0.34525892298150396
PACS1,99,black,black,0,-0.17610094528528047,-0.29148190924687944,0.3905012339381453,-0.025638647681554685
DLEU2,99,black,black,0,-0.1821842975554683,-0.24568738955516078,0.013740043930511491,-0.28655579576402207
SIK3,99,black,black,0,-0.18777806130850627,-0.5042652929008303,0.23946066962225995,0.01660660523629681
GPATCH8,99,black,black,0,-0.1916415386766251,-0.2367457970534795,0.10339522025875278,-0.15447646068606094
ZBTB16,99,black,black,0,-0.19195848765035806,-0.5229816826154615,0.21842863007919563,0.39146108540794505
SEPTIN9,99,black,black,0,-0.19821685779668452,-0.3945780079997703,0.3921858767883466,0.3467098651609592
SSH2,99,black,black,0,-0.1987715211466424,-0.6214661938650685,0.33176601809132417,0.19784016477754796
FNBP1,99,black,black,0,-0.20178654177281755,-0.426253332658358,0.3086034189374811,-0.22888325545159308
PSME4,99,black,black,0,-0.21296651096586358,-0.16656131744829125,0.1974884023842552,-0.14647520133939498
UBE2K,99,black,black,0,-0.24409055888084105,-0.4849729029949722,0.2447260303073365,-0.013397607017513961
CDC42SE2,99,black,black,0,-0.24530176111330812,-0.42420783249005556,0.35559179703040045,-0.0145341750426092
WWOX,99,black,black,0,-0.253131994809574,-0.3416801358464202,0.369308379951452,0.1382811885864616
RBM6,99,black,black,0,-0.26570989826499264,-0.5147749659856206,0.27507418679327306,0.036897658314303416
MALAT1,99,black,black,0,-0.2690038935789131,-0.768044572882175,0.1797566014429016,0.04801375307600004
JMJD1C,99,black,black,0,-0.27517849593611293,-0.2769340720269562,0.41367141624854875,0.05672091434815261
GATAD2B,99,black,black,0,-0.2863770762080274,-0.43133222530707477,0.3249995828999707,0.2564626435243372
ARID4B,99,black,black,0,-0.31176077755823967,-0.36506049052648243,0.2842408001141998,-0.10088869550777967
ZNF609,99,black,black,0,-0.325664539337077,-0.3623195998212065,0.3821975558549071,0.21606352604662474
PRKCA,99,black,black,0,-0.3343806923387499,-0.11864428300330321,0.36603422701925137,0.2910022210980919
SMCHD1,99,black,black,0,-0.37998382240887896,-0.32446476043395883,0.4583847429515434,0.04720986261245641
DYNC1H1,99,black,black,0,-0.38062363303691726,-0.35511623549334814,0.40236474255461724,0.19416024972639814
MACF1,99,black,black,0,-0.38243457970602496,-0.05112434804490053,0.413391724085484,0.13503038769008235
PITPNC1,99,black,black,0,-0.417892777509532,-0.4054020555177467,0.5643635958610574,0.25130466974840643
