,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
TAOK3,99,darkgrey,darkgrey,1,-0.017731638157083413,-0.5645715787878166,-0.08947971889887597,-0.35459826438004516
FAM107B,99,darkgrey,darkgrey,1,0.1267031388562774,-0.5691727358951681,-0.1870804637839481,-0.2899435170744646
UBE2D2,99,darkgrey,darkgrey,1,0.0013354091807175142,-0.5721110634340872,0.07177382813379879,0.24291580010089633
SRPK2,99,darkgrey,darkgrey,1,-0.07353082594071003,-0.5806226750638502,-0.019681913792102636,-0.22796685774909425
KDM2A,99,darkgrey,darkgrey,1,-0.08171064871593697,-0.5881192241964116,0.11640029274451719,-0.1263358276554179
GPBP1,99,darkgrey,darkgrey,1,-0.03041867860680737,-0.593664272366347,0.006847499199827613,-0.13065858491466606
MTSS1,99,darkgrey,darkgrey,1,0.22026863142183523,-0.5936919243873497,-0.43810101573262406,-0.3590025878410906
RNF149,99,darkgrey,darkgrey,1,0.06898143099504,-0.6261717807264471,-0.13474911587220836,-0.33249961699273844
VMP1,99,darkgrey,darkgrey,1,0.0165437917351506,-0.6358170490032209,-0.037756268508564506,-0.02187660659222122
UBE2H,99,darkgrey,darkgrey,1,0.2780564792049388,-0.6376440829686466,-0.44239042687007923,-0.3898478386202795
ARIH1,99,darkgrey,darkgrey,1,0.0741424682466904,-0.6488095689430802,-0.1492010190923033,-0.2000571197013646
MT-ND6,99,darkgrey,darkgrey,1,0.24912071996605753,-0.6544724869681858,-0.019210398418941087,0.4292869152413854
TCF25,99,darkgrey,darkgrey,1,0.13055207219110576,-0.663826430088711,-0.16698488686294338,-0.3387590562739882
CYTH1,99,darkgrey,darkgrey,1,-0.02582855048927312,-0.6654798209393642,-0.020036657256250253,-0.3001897191274461
HMGB1,99,darkgrey,darkgrey,1,0.2003049275346384,-0.680414582899851,-0.12359669771935744,-0.11419252453292014
BAZ1A,99,darkgrey,darkgrey,1,0.019704745962522786,-0.710367722960232,-0.06897010938470331,-0.22777639322179652
SYNE2,99,darkgrey,darkgrey,1,0.021821208295517654,-0.7137889964120945,-0.2436403051037952,-0.38592996756673853
RAP1B,99,darkgrey,darkgrey,1,0.31375180990485235,-0.7438392577083286,-0.350182941690855,-0.4063986842607727
LITAF,99,darkgrey,darkgrey,1,0.4506976301309994,-0.7528122873826751,-0.4593062054766098,-0.40283576603459903
FKBP5,99,darkgrey,darkgrey,1,0.027172752865070676,-0.7635847064714049,-0.08293385655477838,0.012571746717369848
SAT1,99,darkgrey,darkgrey,1,0.43861885574991644,-0.7912427950624511,-0.481308067709992,-0.25490576497485473
PLCG2,99,darkgrey,darkgrey,1,-0.07923424765982584,-0.7932688204021766,-0.031193173381169257,-0.10078835432186914
NUFIP2,99,darkgrey,darkgrey,1,0.48212284862281535,-0.7936088265829878,-0.42963676044826266,-0.26231144532162426
SAMHD1,99,darkgrey,darkgrey,1,0.23650463539839878,-0.8162775906435108,-0.18646626415425185,0.14231099347330256
TNFAIP3,99,darkgrey,darkgrey,1,0.4887567216510992,-0.8169973951886654,-0.3889408442886315,-0.31690898800901157
JUN,98,darkgrey,darkgrey,1,0.44756521307365515,-0.8214897518022225,-0.5002230104041595,-0.3295487702369601
BTG1,99,darkgrey,darkgrey,1,0.5362051855885805,-0.8242782177437048,-0.30374147391267536,-0.05708280220048408
CCND3,99,darkgrey,darkgrey,1,0.156774840356582,-0.8446576560590129,-0.01857624949146896,0.007715333961071822
TXNIP,99,darkgrey,darkgrey,1,0.47640625956423194,-0.8541349591922337,-0.21992024398292878,0.022609811424604324
MTRNR2L12,81,darkgrey,darkgrey,1,0.36991096014554015,-0.9148739172534737,-0.46615012953578894,-0.34102823623644085
MT-ND3,99,darkgrey,darkgrey,1,0.426648352420875,-0.9292638259457663,-0.40943874783478446,-0.2889463439101488
MT-ND5,99,darkgrey,darkgrey,1,0.24769319609577367,-0.9499245229248777,-0.24495339462385737,0.11666039812417757
MT-CO2,99,darkgrey,darkgrey,1,0.37281362866985523,-0.9635842772680068,-0.43029154791193347,-0.1512721925032224
MT-CYB,99,darkgrey,darkgrey,1,0.39764990846361425,-0.9712341665684983,-0.4547516357257656,-0.1537192635729923
MT-CO3,99,darkgrey,darkgrey,1,0.37649356398991657,-0.9735856865224944,-0.42138737421239286,-0.17576494920522634
MT-ND1,99,darkgrey,darkgrey,1,0.39511553065151195,-0.9770041656183098,-0.38009849017241115,-0.08329798195817933
MT-ND2,99,darkgrey,darkgrey,1,0.3558243365529798,-0.9820742907683933,-0.3476886237123964,-0.08979500612864605
MT-ND4,99,darkgrey,darkgrey,1,0.3421361646017282,-0.9837365270192202,-0.3620191740204755,-0.12220858007899747
