,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
LRP6,4,black,black,0,0.9765312589851867,-0.9900273329461721,0.1545699549813765,-0.16256296971428402,0.008470162391862464,0.8569283353839692
ACSM2B,4,black,black,0,0.9765259420279743,-0.9908304352327505,0.15441492891271938,-0.187169920222628,0.07643588572349647,0.8564274808325861
ERRFI1,4,black,black,0,0.9765009152569182,-0.9917530806195153,0.15470396074453482,-0.18936955726805005,0.03936074394850967,0.856365971143253
EIF4G1,4,black,black,0,0.9764818918710875,-0.9898163399015011,0.15452147178947673,-0.16420557573733863,0.015160147536921395,0.8573047825812502
GATM,4,black,black,0,0.9764734464727998,-0.9913561186796049,0.15458689574608742,-0.19820033423496944,0.0636036272275357,0.8579105643593343
ALDOB,4,black,black,0,0.9764487811321708,-0.9906622375887504,0.1543518400432245,-0.19339084569211962,0.0909813103216312,0.8571543312084322
UBE2E2,6,black,black,0,0.9764451315308565,-0.935308259933319,0.3264409003471292,-0.418619227748534,0.15186961934421905,0.7310851724754749
ARHGEF12,4,black,black,0,0.9763052258267491,-0.9916101377204468,0.15473777875842507,-0.18620477768873891,0.024842696074968817,0.8561542819421758
GRB10,4,black,black,0,0.976264607904596,-0.9905136668872516,0.15440820895769683,-0.1802692131178556,0.06193869182688498,0.8556409350472995
CFB,4,black,black,0,0.9762363478927631,-0.9887944202248143,0.15427088215364973,-0.16359366285957702,0.04155017548050337,0.8575901307141378
SCARB2,4,black,black,0,0.9761800781671677,-0.9897532278786161,0.1543573766331959,-0.18338824590599612,0.06103296772353445,0.8580659459297995
AIG1,4,black,black,0,0.9761443341423538,-0.9887413010393185,0.15415365046827273,-0.1723348589427262,0.07061501106794782,0.8577237925612197
ATP1B1,4,black,black,0,0.9761419233142412,-0.9892319026739133,0.1542276197811015,-0.17985586234177803,0.07262615197154378,0.8579272441294362
RPS6KC1,4,black,black,0,0.9761172866265349,-0.9905632403407563,0.1545813891148554,-0.17101913561434404,0.018707909223683074,0.8553254359910522
F2,4,black,black,0,0.9759788289012551,-0.9897342159883555,0.15436545846346575,-0.1856851579423323,0.059011604634304285,0.8580096409841192
VPS13A,4,black,black,0,0.9759498935849595,-0.9902783201774523,0.15453195649191478,-0.18643218607138645,0.03713825279661754,0.8578060495161556
SDC1,4,black,black,0,0.9758215161263707,-0.9880650531202503,0.15404473264726878,-0.1538487100507364,0.05655624200110423,0.8551605786256482
LMBR1,6,black,black,0,0.9757484650786994,-0.9111907823981169,0.39804274426207326,-0.45204808801886814,-0.04895510841749741,0.6795510463013859
F12,4,black,black,0,0.9757336794071438,-0.9907332207446001,0.15464430905554827,-0.17621815076584438,0.010194761992734601,0.8551002683095048
PGRMC1,4,black,black,0,0.9755649872472659,-0.9875666199625359,0.15386225442260076,-0.167764710603834,0.09377008429766027,0.8565630181136715
SCP2,4,black,black,0,0.9755571744370354,-0.9910305046266223,0.1545121886931184,-0.1944812498739541,0.0566830433289633,0.8551216088580751
APOE,4,black,black,0,0.9754712040054718,-0.9890687534505562,0.15402443058119408,-0.19135419093515363,0.11150040870190515,0.8563824819557833
ASCC3,6,black,black,0,0.9754308607207371,-0.9809139613104259,0.1892551496826833,-0.2605225823185172,0.03212147967452915,0.8335339732992045
HP,4,black,black,0,0.9754063025854125,-0.9891892443157313,0.1545058547608867,-0.16541776292634514,-0.004793063507790267,0.8565066582082576
COL18A1,4,black,black,0,0.9752887017766512,-0.9883826443032326,0.15417994869326715,-0.15468747768442676,0.0304647738241881,0.8540287701143124
HRG,4,black,black,0,0.9750799836350991,-0.987700652485544,0.1542736006344895,-0.14853873900409828,-0.007518713296559618,0.8558099235825201
GPX3,4,black,black,0,0.9749945727142206,-0.9867544590484637,0.1537664888978239,-0.1532286682179717,0.07592012005751742,0.8545381735745237
CALD1,4,black,black,0,0.9749190353003883,-0.9906602184198207,0.154678367649964,-0.18399649161979945,0.0002479015523461327,0.8546306182195572
CFHR1,4,black,black,0,0.9747575073144694,-0.9913525888837766,0.15466972250496874,-0.21110619601912112,0.03944989879041217,0.8559508948676062
THADA,6,black,black,0,0.974684175446977,-0.9472025641271773,0.28742083328398893,-0.389089192264447,0.1618789257700694,0.7582189413586892
PAH,4,black,black,0,0.9746798552177922,-0.98943006978846,0.15443370084009891,-0.19216702278129064,0.031266614927499374,0.8571227567859533
PHIP,6,black,black,0,0.9745700389877339,-0.8833895713655658,0.45281883146068114,-0.49415561471680014,0.17838870081385208,0.640589056510125
PSD3,4,black,black,0,0.9745047563972659,-0.9874756004327355,0.154151857862399,-0.16801309055758581,0.02451146813491222,0.8568413908964977
CP,4,black,black,0,0.9744834185835006,-0.9888682039718628,0.1540174667650422,-0.20715664628012076,0.1132700844053974,0.8567334948771664
ITGA1,4,black,black,0,0.9741767194152176,-0.9882716399225858,0.15421317516753968,-0.1890797481415814,0.04387645845700099,0.8570701921431886
SLC1A2,4,black,black,0,0.9741383164706203,-0.9853644312743578,0.1534690684873351,-0.1590046379169816,0.10383771213847537,0.8549354649020061
HDAC8,6,black,black,0,0.9741141550703657,-0.9073232265087731,0.37313494378276674,-0.3908434655571533,0.2490568338797973,0.6954788946597199
REV3L,6,black,black,0,0.974052882210092,-0.8557002478257063,0.5218517888900254,-0.4332655499409951,-0.019230224695080962,0.5818132857017994
PTPRK,6,black,black,0,0.9740149254713539,-0.8606763743219474,0.5225250617724289,-0.5444204886266022,0.08586349272818333,0.5864415952143285
HPN,4,black,black,0,0.9738698633484844,-0.9903981631672905,0.15434849011732696,-0.21436662351028243,0.07606434296662393,0.8540839467341632
CDKAL1,6,black,black,0,0.9737706475958658,-0.8897401869456081,0.40307759924186004,-0.2602891781702466,0.008324958325648349,0.6697783382877059
CYP4A11,4,black,black,0,0.973756305943151,-0.9859479736577288,0.15393037529603829,-0.15683224988375305,0.019636136185723095,0.8561011012086659
HADHA,4,black,black,0,0.9735347987193838,-0.989551617799034,0.15458514091453668,-0.1821433234485026,-0.020228058552723364,0.8533875560460766
SF1,6,black,black,0,0.9734777439298777,-0.9811927994226398,0.17986999192203365,-0.26865263368387343,0.14929594596354645,0.8370618505408984
CYP3A4,4,black,black,0,0.9733157728939954,-0.9890735677293372,0.1542195692231599,-0.21740640275723744,0.07439871091605615,0.8563694449710948
CTNNA1,6,black,black,0,0.9731267047845298,-0.913196063839036,0.3668444222088384,-0.30209385008330575,-0.14305846431510066,0.6935189941083942
PDK4,4,black,black,0,0.9730226455632025,-0.9893070022157863,0.15429354286815108,-0.19620616083562342,0.03860794059488677,0.8520950990030058
DST,4,black,black,0,0.9729896946169514,-0.9836202915652925,0.15357731065656707,-0.12871437132432953,0.008408681237837915,0.8541140277725124
FAT1,4,black,black,0,0.972665220227819,-0.9887486096724842,0.1543909393065484,-0.20495668464899602,0.01554120377691735,0.8554237282433553
MPDZ,4,black,black,0,0.9726241729005314,-0.9876178873247214,0.15398632985295585,-0.21135325274234257,0.07897849968583816,0.8562323183890389
DLG1,6,black,black,0,0.9722977577214276,-0.8704879252688997,0.4799477806066313,-0.44486629123579313,-0.05344792265857408,0.6190176364337455
PTMS,4,black,black,0,0.9722615324482964,-0.9873635248436423,0.15372048930132587,-0.22228823463449465,0.13147105368778364,0.8551602124395797
ORM1,4,black,black,0,0.9720853580029384,-0.9841929860332229,0.15323559170612724,-0.18550177857198882,0.12958608808089928,0.8551105503539949
TAT,4,black,black,0,0.9720147707188005,-0.9821515353250039,0.15295725167128005,-0.14773995239960014,0.10793531203815077,0.8533056605890063
RAB4A,4,black,black,0,0.9718679969112806,-0.9866744360746128,0.15427893841544305,-0.15894883350003555,-0.055777138923006814,0.8520443607417796
NID1,4,black,black,0,0.9717877820597991,-0.9818278447580737,0.15290080444617987,-0.14403573865858244,0.10643230326917802,0.8526472374536906
CYP4F3,4,black,black,0,0.9715415695740192,-0.9836362344364834,0.15302018789853705,-0.1836190016607825,0.15195226506533824,0.853064426590189
TBCA,4,black,black,0,0.9714650417657631,-0.984281775983162,0.15315236903828222,-0.17971983414485432,0.13278491471369558,0.8512846614009646
CYP2C9,4,black,black,0,0.9713925685756437,-0.9870654514678439,0.15362292965636218,-0.21576997489362296,0.12700349309563877,0.8517331387355555
FAF1,6,black,black,0,0.9712621887807988,-0.8643361228485816,0.4958507979050311,-0.40899344369078994,-0.16017790441212354,0.6005459041842663
