,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
RPL6,6,darkgrey,darkgrey,1,-0.9126484152626514,0.866452644308742,-0.3052753735661626,0.35119339626458856,-0.37221970158432705,-0.6786772885787673
NACA,6,darkgrey,darkgrey,1,-0.9000599169259761,0.8656763526729511,-0.2609471296216843,0.22753649810209256,-0.26249831342083885,-0.6938155741125027
TXN,6,darkgrey,darkgrey,1,-0.9239955000424335,0.864457327434027,-0.3458146590767773,0.2971093775694402,0.14905696528740492,-0.6726842722290782
UQCR11,6,darkgrey,darkgrey,1,-0.8635916599194078,0.8634598369449404,-0.2240654682899607,0.37355243300630386,0.21100296011319164,-0.6957536778788623
PFN1,6,darkgrey,darkgrey,1,-0.9139074250887748,0.8622376575217332,-0.3000360867031053,0.2424142257070381,-0.09414977840098002,-0.6962862419756279
RPL3,6,darkgrey,darkgrey,1,-0.951287043709005,0.8614899639119494,-0.4445963706206882,0.3942476885518082,0.17123721890025634,-0.6246253229595731
PHACTR2,6,darkgrey,darkgrey,1,-0.7604468944466366,0.8614555163879326,0.12124822279580329,0.11616262188571976,-0.5122011199031737,-0.8439169072653617
EEF1D,6,darkgrey,darkgrey,1,-0.9282104398299115,0.8561198661265991,-0.3772880030662094,0.2500308302158281,0.05104843917815374,-0.6352393330924677
PTGES3,6,darkgrey,darkgrey,1,-0.6960136305251742,0.8549527692969113,0.2903345008467999,-0.01474056490305244,-0.44264891902679865,-0.9051572034019665
PRKCA,6,darkgrey,darkgrey,1,-0.8090933595189312,0.8539472232336478,-0.09723734784022951,0.3707864709324087,-0.029993646535671298,-0.7336306214535464
TMSB10,6,darkgrey,darkgrey,1,-0.8336973095864868,0.8513946979825902,-0.10265290917382082,0.20063653386004468,-0.5225277380827931,-0.7503959282397357
HSPA8,6,darkgrey,darkgrey,1,-0.8714831706761446,0.8491978815030857,-0.2873121983290741,0.42512086013872075,0.15100028314928476,-0.6536817927484133
RPS6KA3,6,darkgrey,darkgrey,1,-0.6526968857678105,0.8450890832600771,0.4348511379606468,-0.4083744999915796,-0.056019054948394244,-0.96835589329168
PDIA3,6,darkgrey,darkgrey,1,-0.8763371623417778,0.8448828379789921,-0.23105976080605115,0.16977551151887718,-0.35493035423968233,-0.6940582659903652
TXNIP,6,darkgrey,darkgrey,1,-0.7970418453951181,0.8427895250798617,-0.01844673380084099,0.11770196746989195,-0.5031046423172476,-0.7726338242694589
RPL12,6,darkgrey,darkgrey,1,-0.8255169916281933,0.8406696183350594,-0.1836059479108421,0.40772849155493274,0.13508119035249722,-0.6894534889385299
EEF1G,6,darkgrey,darkgrey,1,-0.8477759572544088,0.8383349217676105,-0.19858603437836875,0.07005528365688614,0.4775107086298105,-0.6950762872450332
CCND3,6,darkgrey,darkgrey,1,-0.9193329408575406,0.8378990772301034,-0.40601962280884424,0.42139645371844087,-0.3254117316872473,-0.6110266292390216
SQSTM1,6,darkgrey,darkgrey,1,-0.8350609195027883,0.8367117531429391,-0.1526739341820987,0.3020628105316712,-0.5604999558699287,-0.7220191318846927
TSC22D3,6,darkgrey,darkgrey,1,-0.9232615503569209,0.8360417244601356,-0.4131670359066875,0.37468770463539536,-0.2910153288636714,-0.6087374727391338
RHOA,6,darkgrey,darkgrey,1,-0.7805020691769763,0.8356372097996944,-0.04663851559954973,0.39582431600065765,-0.4028004008013407,-0.748178251143861
CNOT6L,6,darkgrey,darkgrey,1,-0.9203420812757122,0.8334191313166243,-0.42880672582576873,0.2953836313995864,0.22599259815812398,-0.5913150873872552
PPIA,6,darkgrey,darkgrey,1,-0.6596077451817403,0.8280959897535817,0.2930154103437702,-0.07819389009300735,0.1351167102743082,-0.8663562679127411
ACTR2,6,darkgrey,darkgrey,1,-0.6658385940689994,0.8255410739136555,0.2786156960327216,0.004632162675019527,-0.2895257092606478,-0.861182166563145
CCNL1,6,darkgrey,darkgrey,1,-0.7980134263574162,0.8255147959281449,-0.12053022723984907,0.4409488559631197,-0.4647384150087651,-0.7101045114962469
SLC38A2,6,darkgrey,darkgrey,1,-0.7396249311525146,0.8220465137463426,0.08396140239535986,0.11695972787898931,-0.5821952640479128,-0.7944242084004033
NUFIP2,6,darkgrey,darkgrey,1,-0.8442659683481458,0.8215194686064098,-0.184214815218405,-0.07730072639543677,0.24305139918684812,-0.7019650423656307
CUX1,6,darkgrey,darkgrey,1,-0.9263246193619012,0.8205537300257367,-0.4704195320192071,0.2856825464286486,0.3099290651874306,-0.5731389280159338
CST3,6,darkgrey,darkgrey,1,-0.8684086088171538,0.8203168555959892,-0.30534160795082393,0.4321304139422047,-0.3574400238597526,-0.6510345906710561
SMCHD1,6,darkgrey,darkgrey,1,-0.6929322427321809,0.8200050176897115,0.26728767910339757,-0.2936975521440108,-0.2983864971097879,-0.8855351830351342
PPP6R2,6,darkgrey,darkgrey,1,-0.8849009245028795,0.8175740878515086,-0.4061056627650849,0.4513699004006079,0.23711855619219327,-0.5782454106837381
RPL14,6,darkgrey,darkgrey,1,-0.8990887604707022,0.8166522722751073,-0.443988229869114,0.5591027508543828,0.07257534321356403,-0.5777009359931943
FKBP5,6,darkgrey,darkgrey,1,-0.8387736864314439,0.8123022096465287,-0.2482466909186933,0.38791145191808746,-0.49146982265742695,-0.6475208850705846
