,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
FAM120B,6,snow,snow,5,0.8472465944575114,-0.9741483945918121,-0.1752368227340803,0.0242133316230379,0.1005665620669407,0.9721752007914316
APOC1,6,snow,snow,5,0.8675605817857268,-0.9807268705704671,-0.1471080437305055,0.06507533924857309,0.0784788119648337,0.971339228875332
ELMO1,6,snow,snow,5,0.866097624403167,-0.979663772857837,-0.15171088297265178,0.10697307901446276,0.034857519341992556,0.9702931479466839
SCAF8,6,snow,snow,5,0.8379928474009899,-0.9669411682206457,-0.19256112700042924,0.10796207691972877,0.07995227231024456,0.9700751175187983
VAPA,6,snow,snow,5,0.8700954163402759,-0.9828254104250101,-0.14321194707293092,0.07563310113242758,0.01893458333989537,0.9697367469888994
RAB3GAP2,6,snow,snow,5,0.7732045239982966,-0.9166165433435097,-0.2744005030655654,0.248537795137703,0.182029640600969,0.968464808641623
SLTM,6,snow,snow,5,0.8558437144308916,-0.9770870367995234,-0.16182612022523288,0.07607078277016788,-0.013537598543327006,0.9675869266932964
VPS13C,6,snow,snow,5,0.8250005911517554,-0.9578484094522849,-0.20086447942744248,0.032414690501231205,0.2338313246245516,0.9675296112218149
JAZF1,6,snow,snow,5,0.7730907110276022,-0.9283915237904327,-0.26787870282967197,0.04966064254794063,0.2683151169932152,0.9663173792842237
SERPINA1,6,snow,snow,5,0.881758682556243,-0.9884866866841046,-0.11946538374095757,0.030907891024084155,0.041380530958683326,0.9639929996122862
KAT6A,6,snow,snow,5,0.7193956632896703,-0.8855428694469062,-0.33457097062135416,0.18466275349362152,0.3276113941091208,0.9632138688929269
CAMKMT,6,snow,snow,5,0.6549848994868707,-0.8540793833123642,-0.41807895031469744,0.2776732745833926,-0.08173650470487324,0.9622378116310504
PATJ,6,snow,snow,5,0.8566180196921812,-0.9683314011866574,-0.15223274467157807,0.14799246205655517,-0.055197844296878636,0.9613099698246481
UTY,6,snow,snow,5,0.7290560260465699,-0.8890379075012936,-0.32448095819559253,0.2370559307444451,0.3063555593829233,0.9611087610938082
RAP1A,6,snow,snow,5,0.6700967276537795,-0.8486065863291697,-0.39799853067415325,0.37127339884186455,0.14746189278020036,0.9591187014358145
ACBD6,6,snow,snow,5,0.8098702902309419,-0.9375009755902746,-0.20814675697235224,0.2041786079917056,-0.10158780661623916,0.9586581759301281
CANX,6,snow,snow,5,0.709251147518113,-0.8874972911450864,-0.340832573153245,0.21067040468876103,-0.15136144601673618,0.9571691493425525
KIAA1109,6,snow,snow,5,0.7413349329133829,-0.897117012379907,-0.301383989827921,0.17082555713663736,0.3474822203921228,0.956430373126304
SMARCC1,6,snow,snow,5,0.7263912370170148,-0.9015422712338313,-0.32292625356187615,0.1221907715761363,0.12386390913373832,0.9549451858002304
LRCH1,6,snow,snow,5,0.8193145418472959,-0.9475394420936343,-0.18493113212275572,0.08070140607838706,-0.09436556599680765,0.9535905535944673
SLC39A11,6,snow,snow,5,0.7055462317406865,-0.8725715539712142,-0.3392494141976575,0.31305621223431995,-0.1250417213045124,0.9531783791156964
UBE2H,6,snow,snow,5,0.7660963247991394,-0.9127282104465697,-0.26268846545675795,0.1080463007158578,0.34582467141869977,0.9523346279272887
ASPH,6,snow,snow,5,0.7886713160344756,-0.9242509391861807,-0.2255593602094385,0.051108929983840215,0.3472742796085859,0.9517279442474978
FBXL17,6,snow,snow,5,0.8375459971691596,-0.9521085039018926,-0.1646978089445249,0.16707298644694435,0.010027809836802962,0.9461726719236856
ETV6,6,snow,snow,5,0.7973149193419897,-0.9336349343681929,-0.21323071094900728,0.16208347720860758,-0.12979495258097723,0.942951819082555
SETD2,6,snow,snow,5,0.7873586336002051,-0.9132020616781326,-0.20875178519084805,0.07608578930527737,0.3045773209356292,0.9411509683674563
CNOT1,6,snow,snow,5,0.689528739369224,-0.8501976012389247,-0.3399016908779572,0.26412106504595073,0.23233414984054995,0.9399263947893355
CCSER2,6,snow,snow,5,0.6127372676353882,-0.8116728680133117,-0.44448975388870743,0.24263887341334212,0.39764769881375955,0.9387632964108282
TTR,6,snow,snow,5,0.6331628699274414,-0.829162296665928,-0.4063455479669699,0.16096236377762999,0.12261685867622234,0.9367464754361313
THOC2,6,snow,snow,5,0.7937702492381195,-0.9271183713696144,-0.19310038279123912,-0.06471248763348444,0.26555179068378276,0.9358758999571195
VMP1,6,snow,snow,5,0.6522076623371683,-0.8309140881978764,-0.3761931503988098,0.25926428601542556,0.004580715449656233,0.9327778610374616
RUNX1,6,snow,snow,5,0.7673238242131213,-0.8912700145715716,-0.23370168575548977,0.29189399359466994,0.15208473634821876,0.9287410642940582
RAB2A,6,snow,snow,5,0.8006435410243582,-0.9115030012212534,-0.16376966445876956,0.12930380231880653,-0.04164995271357863,0.9226090517560714
CAMK1D,6,snow,snow,5,0.661815928485047,-0.823518209521151,-0.33094665948549457,0.3116885009079897,-0.20750440502516102,0.9062042255176355
ATRX,6,snow,snow,5,0.5450679751672289,-0.7420569376773123,-0.476288228990623,0.3871406524352745,0.28390276706698414,0.8971075402330445
FBXO11,6,snow,snow,5,0.6413291049851533,-0.8112224115968566,-0.35238976334994665,0.3949058010278956,-0.36173503798028367,0.8918289410931017
IQSEC1,6,snow,snow,5,0.5579663061663752,-0.7595099231737729,-0.426160302201932,0.17301047478782275,-0.03236187932985629,0.878552518151616
TMED5,6,snow,snow,5,0.6974018418730521,-0.8369088536839175,-0.24734407140293693,-0.008122350496518127,0.5345645124285127,0.876817775555749
PJA2,6,snow,snow,5,0.6283784412219956,-0.7856953902597156,-0.34744652295576445,0.49302311898407136,-0.29178105176144287,0.8726225372317071
EXOC6B,6,snow,snow,5,0.6571628149042024,-0.8064102194994198,-0.3049599234729872,0.34714387116812706,0.026645146316496057,0.8621192868483452
BCAS3,6,snow,snow,5,0.5189429197901353,-0.7100612810507284,-0.46142594259816366,0.3138945442480366,0.4405184512402723,0.8611279179933955
PTEN,6,snow,snow,5,0.6033286614029049,-0.7790885700946586,-0.3723359165725011,0.2686166471392872,0.22988011384050117,0.8601028618387544
EXT1,6,snow,snow,5,0.6865534315117642,-0.8101503395816714,-0.24023116434594632,0.13525539181575041,0.5307587238138504,0.8589038470263004
HOOK3,6,snow,snow,5,0.7052507979235992,-0.8476910866624587,-0.2180611666702595,0.08200946343686387,-0.28326342821021117,0.8573606781028273
SMAD2,6,snow,snow,5,0.7043797418831267,-0.845515199495965,-0.2225914066512818,-0.015485414505916773,0.24320845463286994,0.8563629159088633
CPQ,6,snow,snow,5,0.7594540026853387,-0.8604646070043782,-0.13239401142969592,0.20982910187889706,-0.4171128972058039,0.8483772509057759
PRRC2B,6,snow,snow,5,0.6890842226349213,-0.8277513082365836,-0.2378654022637793,0.20393893344204664,-0.12023028769560451,0.845955546835123
TLE1,6,snow,snow,5,0.6610474351067456,-0.7902738278868211,-0.244792822897499,0.330791135184477,-0.4003890640829258,0.8385246374529264
ETNK1,6,snow,snow,5,0.6325410496514554,-0.7595825260180501,-0.2751709554334023,0.344732421125956,-0.006321499642304225,0.837551017134577
KDM6A,6,snow,snow,5,0.5347657784855092,-0.7285856940720582,-0.4032482086990246,0.1074283483479083,0.3459903153878191,0.82033423652757
ADAM10,6,snow,snow,5,0.6285833776331459,-0.7575823506169985,-0.2807832487534669,0.4748557188956823,-0.12507897476918559,0.8165177688891233
