,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
METTL15,89,gainsboro,gainsboro,3,-0.21462433852921473,-0.12116666411890817,0.5708242717200173,0.561731587575732
ASGR1,74,gainsboro,gainsboro,3,0.4350350525943777,-0.5965089468906638,-0.08403903649229534,0.5535381843598239
SNX13,91,gainsboro,gainsboro,3,-0.3574909110331299,-0.0176102094679559,0.612273804746356,0.553432280742006
MEF2A,93,gainsboro,gainsboro,3,-0.5185033491751282,0.18317857775890428,0.829368572472223,0.5487754099948041
PIK3R1,93,gainsboro,gainsboro,3,-0.43137247312094423,-0.08971271971023648,0.6856736694737402,0.5468267231592948
HPD,81,gainsboro,gainsboro,3,0.43096519105298825,-0.5716006635416377,-0.10639927926087024,0.5458312152847556
ARHGAP5,90,gainsboro,gainsboro,3,-0.32704900767996314,-0.006648703929797237,0.5932100781486996,0.5411618076335986
ALDH1A1,89,gainsboro,gainsboro,3,0.5864531516120939,-0.628226022928312,-0.17974790930604945,0.5327274698225114
SCARB2,92,gainsboro,gainsboro,3,-0.38864513954033647,0.008103960328925961,0.5375471636264942,0.5300385219321242
AKR1C1,71,gainsboro,gainsboro,3,0.5856654380327215,-0.6567972383212735,-0.2584862236502471,0.5285195516043596
SNX9,93,gainsboro,gainsboro,3,-0.34010517023065534,0.080017024086869,0.6482642380358047,0.527924586210878
APOA1,81,gainsboro,gainsboro,3,0.3990850749572921,-0.34220415476723554,0.09077901476506586,0.5253606519826381
QKI,93,gainsboro,gainsboro,3,-0.4752237269511838,0.21261523896617096,0.7899998265431748,0.5185684529954534
ATE1,92,gainsboro,gainsboro,3,-0.1908804047711257,-0.09131436288099865,0.5144083165234018,0.513895783974951
GLUD1,91,gainsboro,gainsboro,3,-0.1433194829173422,-0.11806485523515835,0.3895962209047146,0.5092693050097722
DAP,90,gainsboro,gainsboro,3,-0.3916994199673114,0.007742146688624886,0.616561419094464,0.5077667949407402
TCF12,93,gainsboro,gainsboro,3,-0.49185538953001634,0.13437895242380413,0.7498145890198764,0.5015372203690222
TMEM123,92,gainsboro,gainsboro,3,-0.18809518861968805,-0.17953936943963109,0.4411017412072536,0.4998222615489774
STK3,92,gainsboro,gainsboro,3,-0.44089929791346405,0.0665366218866526,0.6492956778881451,0.49759945823838936
RAD50,92,gainsboro,gainsboro,3,-0.35374889165791323,-0.010197663937463037,0.5594262091537677,0.4940591685491998
EXOC6B,93,gainsboro,gainsboro,3,-0.39801424294988347,-0.02715964334170829,0.7458141541541637,0.4888602709456606
RAD23B,91,gainsboro,gainsboro,3,-0.34777367671962567,-0.009416723936105542,0.5074488889143692,0.48698515467981035
