,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
RPL7A,86,black,black,0,0.8188348809914723,-0.81722198577938,-0.3269865318109947,0.43939690017459465
DUSP1,93,black,black,0,0.8178136928058859,-0.4150489749266915,-0.6128775001262861,-0.03115393282729168
TPT1,93,black,black,0,0.8167166319101858,-0.7859146940875649,-0.45980229123128175,0.4143851933657864
TMSB4X,92,black,black,0,0.8138392571219896,-0.5916192704165307,-0.6109274804881096,0.03345071297060874
RPL37,92,black,black,0,0.813586274445603,-0.54260876150779,-0.7070564829220684,-0.026357750872021118
RPL7,91,black,black,0,0.8119351106700756,-0.6451959539288658,-0.6438705901915183,0.13478870105693275
RPL23,91,black,black,0,0.811740379011922,-0.5585517798230587,-0.7150431535906618,-0.00015463579371169698
RPS3,89,black,black,0,0.8099045288472944,-0.7083181762058296,-0.46865878782694936,0.2204407454973294
COX8A,84,black,black,0,0.8051434340631564,-0.876742053021669,-0.34950219179983555,0.4834639888236318
MYL6,91,black,black,0,0.8044501394953025,-0.609928821198748,-0.5574040968602436,0.13193643541248848
PFN1,92,black,black,0,0.8042487833721959,-0.5903936355705109,-0.6464493209796337,-0.014230158474414351
COX5B,87,black,black,0,0.8033588998296047,-0.7463510170172183,-0.4555609268466516,0.3384618137330884
HLA-B,93,black,black,0,0.8020795138712484,-0.5423248184649047,-0.6190879249004989,-0.11199218172905855
COX4I1,88,black,black,0,0.801945969358167,-0.7672501874783946,-0.37588219492952135,0.37201935379141926
TMSB10,91,black,black,0,0.8011452020937421,-0.5470887985440891,-0.5114188635582343,0.06528584291433258
RPL10A,91,black,black,0,0.799127061856792,-0.6228936374219134,-0.5431251540788197,0.15097933418876658
RPL18,91,black,black,0,0.7958748324176586,-0.6864482686185613,-0.5206101426629314,0.1943970462370597
RPS7,87,black,black,0,0.794056782840874,-0.7724516765993862,-0.3449986467366652,0.40652297504288565
RPL10,90,black,black,0,0.789861026841225,-0.7598536956151312,-0.42408670882257254,0.3259318584397902
RPS3A,89,black,black,0,0.7894826915979777,-0.716540129744905,-0.42802876229273085,0.33851411546486193
COX6A1,82,black,black,0,0.7884585073891994,-0.881143494672854,-0.31230430932354386,0.5836240938023087
EIF1,92,black,black,0,0.7819127122960435,-0.6906726396621465,-0.5568494979369034,0.215974806941924
RPLP0,87,black,black,0,0.7808553610598323,-0.8085272792989062,-0.30760998440675197,0.44424763289730423
RPL14,91,black,black,0,0.7778948361149071,-0.652458728150149,-0.5991867968019869,0.13887541329232236
PTMA,93,black,black,0,0.7771238858853098,-0.30427929652272,-0.8970392169653809,-0.4044754820562818
UQCRQ,84,black,black,0,0.7753843152674318,-0.823728571795417,-0.3917131766310609,0.4676967053624417
KLF6,93,black,black,0,0.7745207838002892,-0.32421890280319865,-0.8185198846886383,-0.24262174907001502
RACK1,92,black,black,0,0.7744859907097207,-0.646457769295453,-0.5121674074301537,0.22109753677307978
