"tf_name","motif_id","gene","grn_weight"
"SCRT1","MA0743.2","AKTIP",0.0178327013560741
"POU5F1B","MA0792.1","AKTIP",0.0178293039487486
"POU1F1","MA0784.2","AKTIP",0.0176842247695175
"VEZF1","MA1578.1","FAAP20",0.0171687590813405
"GLIS2","MA0736.1","FAAP20",0.0170819666819059
"POU5F1B","MA0792.1","ABCB10",0.0165889544746444
"E2F2","MA0864.2","CCL5",0.01649404320035
"EGR3","MA0732.1","FAAP20",0.0163595141042491
"TBX2","MA0688.1","SNAI3",0.0162561451472644
"MITF","MA0620.3","CCL5",0.0159960369830839
"IKZF1","MA1508.1","ABCB10",0.0157852452022342
"IRF2","MA0051.1","PSD4",0.0157677415984835
"ZIC5","MA1584.1","CCL5",0.0157670909705379
"NFATC4","MA1525.2","FAAP20",0.0152738358372823
"GATA1::TAL1","MA0140.2","PSD4",0.0148514875405595
"SP9","MA1564.1","ATAD3B",0.0146368439413415
"NFATC3","MA0625.2","FAAP20",0.0146320868871329
"RELA","MA0107.1","ABCB10",0.014610938399179
"ZNF410","MA0752.1","CCL5",0.0143342908534563
"NKX6-3","MA1530.1","ABCB10",0.0142672464643656
"HOXB2","MA0902.2","CSNK2B",0.0142654023815804
"DLX1","MA0879.2","CSNK2B",0.0142369959054417
"EMX2","MA0886.1","CSNK2B",0.0141794764652389
"ELF3","MA0640.2","SNAI3",0.0136556276825873
"KLF4","MA0039.4","ATAD3B",0.0135229455684326
"KLF15","MA1513.1","AKTIP",0.0134260471665056
"MAFK","MA0496.3","PSD4",0.0133337184447164
"THAP1","MA0597.2","AKTIP",0.0132791002945941
"RUNX2","MA0511.2","AKTIP",0.0131816576249798
"NFATC3","MA0625.2","CCL5",0.0131715950855968
"ELF2","MA1483.2","ABCB10",0.0131644323189556
"EN1","MA0027.2","CSNK2B",0.0131166638562254
"GATA6","MA1104.2","ABCB10",0.0130436364314684
"ZNF281","MA1630.2","ATAD3B",0.0128568653093134
"VAX2","MA0723.2","CSNK2B",0.012615026712368
"PPARG","MA0066.1","CSNK2B",0.0125959605727563
"ZNF140","MA1589.1","ATAD3B",0.0125701812607203
"MEF2B","MA0660.1","CSNK2B",0.0125697560743286
"KLF11","MA1512.1","AKTIP",0.0124093701503878
"REST","MA0138.2","SNAI3",0.0123156022811153
"ZNF281","MA1630.2","FAAP20",0.0122395815902289
"ZNF354A","MA1978.1","ATAD3B",0.0122126102297045
"PATZ1","MA1961.1","AKTIP",0.0121983967501222
"ZNF574","MA1982.1","CSNK2B",0.0121380564167479
"TRPS1","MA1970.1","ABCB10",0.0121155340631872
"RXRG","MA1556.1","ABCB10",0.012088078208094
"CREB1","MA0018.4","ABCB10",0.0117717576561411
"THRB","MA1576.1","CCL5",0.0116565225317161
"ZBTB12","MA1649.1","CCL5",0.011316447553575
"TBX5","MA0807.1","SNAI3",0.0110124511827877
"TBX4","MA0806.1","SNAI3",0.0110124511827877
"STAT1::STAT2","MA0517.1","FAAP20",0.0108638524949718
"ESR2","MA0258.2","SNAI3",0.0108417074193765
"SCRT2","MA0744.2","AKTIP",0.0108261821686568
"GBX1","MA0889.1","CSNK2B",0.0107880326755697
"ONECUT3","MA0757.1","CSNK2B",0.0107064233823833
"HIF1A","MA1106.1","CCL5",0.0104289204111002
"ZNF740","MA0753.2","ATAD3B",0.010317547419219
"TCF12","MA1648.1","AKTIP",0.0102932582492966
"LBX2","MA0699.1","CSNK2B",0.0102372654097637
"TLX2","MA1577.1","CSNK2B",0.0102268849158223
"MAFA","MA1521.1","PSD4",0.0101925611237862
"FOXO1::ELK1","MA1954.1","ABCB10",0.0101200857743134
"TCF3","MA0522.3","AKTIP",0.0100876511125305
"RXRG","MA1556.1","PSD4",0.0100721046510113
"EGR4","MA0733.1","SNAI3",0.0100543619340467
"TP73","MA0861.1","CCL5",0.00993782939212865
"PKNOX1","MA0782.2","SNAI3",0.0096728800742205
"CTCF","MA0139.1","ATAD3B",0.00951054708901488
"RAX","MA0718.1","CSNK2B",0.009229567893299
"ETV2::FOXI1","MA1942.1","ABCB10",0.00901678621100344
"ZNF281","MA1630.2","AKTIP",0.00897346628363963
"ZNF263","MA0528.2","SNAI3",0.00868093927763164
"PRRX1","MA0716.1","PSD4",0.00862795006689556
"UNCX","MA0721.1","PSD4",0.00862795006689556
"RAX2","MA0717.1","PSD4",0.00862795006689556
"MEIS2","MA0774.1","CSNK2B",0.00848757247507761
"PATZ1","MA1961.1","ATAD3B",0.00837251026077195
"ZNF410","MA0752.1","PSD4",0.00836374000915474
"ZNF135","MA1587.1","CSNK2B",0.00821765554094216
"BATF3","MA0835.2","ABCB10",0.00820474571593477
"CREB3L4","MA1474.1","AKTIP",0.00809753144516139
"EGR2","MA0472.2","AKTIP",0.00809539704872522
"CTCF","MA0139.1","AKTIP",0.00798518095526834
"POU3F2","MA0787.1","AKTIP",0.00789850989854819
"BHLHE40","MA0464.2","AKTIP",0.00784156481474345
"ZFP14","MA1972.1","PSD4",0.00780414508436827
