"tf_name","motif_id","gene","grn_weight"
"HNF4G","MA0484.2","CD55",0.019268410536801
"TFAP2C","MA0814.2","TCF25",0.0190603181309616
"RREB1","MA0073.1","MOK",0.0190089904948689
"NKX2-5","MA0063.2","ZNF407",0.0189975682022464
"ZBTB14","MA1650.1","PLCG2",0.0189600374045954
"KLF4","MA0039.4","MOK",0.0189580763935076
"FOSL2::JUN","MA1131.1","PLCG2",0.0187189950308686
"CREM","MA0609.2","PLCG2",0.0187174104799417
"PRDM9","MA1723.1","WNK2",0.0186267675462945
"BHLHE23","MA0817.1","ZNF407",0.0185062090104901
"NR2C2","MA0504.1","MOK",0.0184982271301385
"GCM2","MA0767.1","WNK2",0.0184191333044899
"JUN","MA0488.1","TCF25",0.0183638559251969
"ZNF667","MA1984.1","CD55",0.0183400612730837
"TFAP2C","MA0524.2","WNK2",0.0181437175894964
"ZEB1","MA0103.3","HSP90AA1",0.0181375344821236
"FOS","MA1951.1","PLCG2",0.018121058248963
"ATF3","MA0605.2","PLCG2",0.0180733513684104
"PRDM9","MA1723.1","THRA",0.0180399977209336
"INSM1","MA0155.1","MOK",0.0178508012198665
"MYCN","MA0104.4","TCF25",0.017826498138892
"SREBF1","MA0595.1","THRA",0.0172721936876988
"ZBTB33","MA0527.1","MOK",0.0172597776810329
"EGR4","MA0733.1","HSP90AA1",0.0172255523175646
"ZNF281","MA1630.2","MOK",0.0171799590328667
"STAT3","MA0144.2","MOK",0.017133840108542
"KLF2","MA1515.1","MOK",0.0171267602914827
"HEY1","MA0823.1","ZNF407",0.0171186609341148
"FOXC1","MA0032.2","LEPR",0.0168869844313982
"ZNF257","MA1710.1","WNK2",0.0168232623862573
"SP5","MA1965.1","WNK2",0.0165661468703877
"KLF14","MA0740.2","TCF25",0.0164684865391339
"JUND","MA0492.1","TCF25",0.0164488287173203
"POU3F2","MA0787.1","LEPR",0.0164482059745547
"OSR2","MA1646.1","CD55",0.0163547549388731
"CTCFL","MA1102.2","WNK2",0.0163008168012955
"HAND2","MA1638.1","HSP90AA1",0.0162411440568684
"CREB3L4","MA1475.1","RPL13",0.0161183461869394
"TBX3","MA1566.2","ZNF407",0.0158110207972242
"FOXP1","MA0481.3","ZNF407",0.0157224627281066
"TBR1","MA0802.1","ZNF407",0.0156850016636789
"JUND","MA0492.1","MOK",0.0156689340599662
"ZNF460","MA1596.1","MOK",0.0156373752235169
"HES5","MA0821.2","ZNF407",0.0155877833925837
"ATF2","MA1632.1","TCF25",0.0154031198119245
"POU2F1","MA0785.1","LEPR",0.0153540129244712
"HES2","MA0616.2","PLCG2",0.0152099258828263
"OVOL1","MA1544.1","WNK2",0.015191361524862
"RFX3","MA0798.3","RPL13",0.0151429953398606
"TCF7L2","MA0523.1","MOK",0.01514185990568
"ERF::FOXO1","MA1936.1","LEPR",0.0148357043918886
"KLF4","MA0039.4","WNK2",0.0148220146755877
"KLF16","MA0741.1","MOK",0.0146098262856366
"FOXD3","MA0041.2","ZNF407",0.0145753818092246
"KLF10","MA1511.2","WNK2",0.0145557604692579
"SP2","MA0516.3","LEPR",0.0144374597608765
"EBF3","MA1637.1","PLCG2",0.014332246910016
"ZKSCAN3","MA1973.1","TCF25",0.0143077116946366
"EGR3","MA0732.1","HSP90AA1",0.0142147600840143
"ZNF701","MA1987.1","THRA",0.0141383244718296
"TBX2","MA0688.1","ZNF407",0.0140733862214594
"TEAD1","MA0090.3","PLCG2",0.0140430636618393
"FOXC1","MA0032.2","CD55",0.0140168220183497
"POU4F1","MA0790.1","ZNF407",0.013978023276259
"FOXJ2::ELF1","MA1952.1","LEPR",0.0138595099049054
"RFX5","MA0510.2","RPL13",0.0137971035399055
"HOXA10","MA0899.1","CD55",0.0137462872724008
"ZNF574","MA1982.1","MOK",0.0136459032888847
"KLF17","MA1514.1","THRA",0.0135222386752894
"FOXO1::ELK1","MA1954.1","ZNF407",0.0133667125314078
"RORC","MA1151.1","HSP90AA1",0.0133034417869183
"ZNF189","MA1725.1","LEPR",0.0132887076991732
"ETV2::FOXI1","MA1942.1","LEPR",0.0131115083074085
"CTCFL","MA1102.2","THRA",0.0129968495340812
"BCL6B","MA0731.1","ZNF407",0.0128683671613638
"RREB1","MA0073.1","THRA",0.012859278583708
"ZNF75D","MA1601.2","MOK",0.0127130308603524
"ZKSCAN1","MA1585.1","CD55",0.0126291808902766
"ZBTB7A","MA0750.2","THRA",0.012601655358886
"TEAD3","MA0808.1","PLCG2",0.0125875698110872
"KLF4","MA0039.4","TCF25",0.0125687059556401
"TCF4","MA0830.2","WNK2",0.0125474847519422
"TFAP2C","MA0524.2","THRA",0.0125420713243592
"IRF7","MA0772.1","ZNF407",0.0125330406759055
"ZNF610","MA1713.1","PLCG2",0.0125212525691786
"ZNF135","MA1587.1","LEPR",0.0125126598857099
"KLF1","MA0493.2","TCF25",0.0125010932236949
"ZNF460","MA1596.1","THRA",0.0125005193753412
"NFIC","MA1527.1","HSP90AA1",0.0124096986893766
"RARA::RXRG","MA1149.1","WNK2",0.0123917619228641
"BCL6","MA0463.2","MOK",0.0123581466874675
"ZNF93","MA1721.1","CD55",0.0123113047458202
"FOS::JUN","MA1126.1","TCF25",0.0122872555986659
"THRA","MA1969.1","LEPR",0.0122193361112273
"ZSCAN4","MA1155.1","THRA",0.0121393129146228
"CREB1","MA0018.4","TCF25",0.0120229518045014
"RFX7","MA1554.1","MOK",0.0120221403154
"POU3F1","MA0786.1","ZNF407",0.0119921517362955
"TFAP2B","MA0813.1","CD55",0.0118806187170251
"KLF16","MA0741.1","WNK2",0.0118762530717348
"JUN::JUNB","MA1133.1","TCF25",0.0118447614340902
"GABPA","MA0062.3","ZNF407",0.0117778726750359
"GABPA","MA0062.3","PLCG2",0.0117751737956641
"POU2F1","MA0785.1","ZNF407",0.0117530806057784
"POU2F2","MA0507.2","LEPR",0.0117410128638763
"JUN::JUNB","MA1133.1","MOK",0.0117114292723037
"EGR3","MA0732.1","MOK",0.0116628716872805
"NFKB2","MA0778.1","CD55",0.0116526797584713
"ETV6","MA0645.1","HSP90AA1",0.0116336410827716
"RFX3","MA0798.3","TCF25",0.0115295267061765
"FOXA1","MA0148.4","ZNF407",0.0114588734603448
"IRF3","MA1418.1","WNK2",0.0114109784953824
"OVOL2","MA1545.1","WNK2",0.0113398769735995
"KLF7","MA1959.1","WNK2",0.0112255805927874
"FOSL2::JUNB","MA1139.1","PLCG2",0.0111972088450661
"TFAP2B","MA0812.1","TCF25",0.0111364639878718
"HAND2","MA1638.1","MOK",0.0111278552001511
"FOXD2","MA0847.3","LEPR",0.0111255045992663
"ZNF136","MA1588.1","LEPR",0.0111147374121914
"CTCF","MA0139.1","CD55",0.0110867201223203
"HNF4G","MA0484.2","LEPR",0.0106809082875773
"SP9","MA1564.1","TCF25",0.0106698058886014
"SP4","MA0685.2","TCF25",0.0106463018049015
"ZNF354C","MA0130.1","ZNF407",0.0106228487051193
"KLF10","MA1511.2","TCF25",0.0105017427965034
"FOSL1::JUND","MA1143.1","TCF25",0.0104434636090659
"SP8","MA0747.1","CD55",0.0104264342957696
"SP9","MA1564.1","THRA",0.0103530639936771
"PAX2","MA0067.2","CD55",0.0103306193350944
"ZIC4","MA0751.1","MOK",0.0103211719112134
"MAZ","MA1522.1","LEPR",0.0101941574619214
"FOXA2","MA0047.3","ZNF407",0.00999734199764045
"ZIC5","MA1584.1","PLCG2",0.00998174065959619
"E2F6","MA0471.2","LEPR",0.00995415848270916
"ATF2","MA1632.1","PLCG2",0.0098580523988878
"PAX4","MA0068.2","TCF25",0.00980776889840351
"ZNF816","MA1719.1","WNK2",0.00976319616442323
"FOSL2::JUND","MA1145.1","TCF25",0.00966559300403338
"ZNF320","MA1976.1","THRA",0.00959241917186707
"FOSL1::JUN","MA1129.1","MOK",0.0094550058373233
"PLAGL2","MA1548.1","CD55",0.0092650563245333
"NKX6-2","MA0675.1","LEPR",0.00925809786215149
"KLF11","MA1512.1","MOK",0.00919924937131393
"TCFL5","MA0632.2","CD55",0.00917076255291678
"CTCF","MA0139.1","RPL13",0.0091451421069853
"NFKB2","MA0778.1","PLCG2",0.00909474907007542
"KLF12","MA0742.2","WNK2",0.00902241460026385
"KLF2","MA1515.1","WNK2",0.0089812961977437
"TFAP2C","MA0815.1","PLCG2",0.00893933734268656
"ZNF135","MA1587.1","PLCG2",0.00890930117938222
"KLF12","MA0742.2","TCF25",0.00889072711179218
"TFAP2A","MA0003.4","MOK",0.00882944059495451
"IRF4","MA1419.1","WNK2",0.00867733491030151
"CTCF","MA1929.1","LEPR",0.00863901992803272
