,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
B4GALT1,37,darkgrey,darkgrey,1,-0.01881890105174263,0.28185077150438353,0.4196926033656735,-0.3735541694494758
ETFA,37,darkgrey,darkgrey,1,-0.06999960432206759,0.2678020908282759,0.43642566280555367,-0.3266007390542472
AHCTF1,37,darkgrey,darkgrey,1,-0.3338242405169267,0.2647976572023546,0.5311957111113321,-0.5778616049205652
KLF6,37,darkgrey,darkgrey,1,0.024576707120405022,0.25524700993360516,-0.15042065371913504,0.33008680418323033
ZBTB16,37,darkgrey,darkgrey,1,-0.31708189159513356,0.23881945606769633,0.43411322029065824,-0.48649768099617613
SEPTIN2,37,darkgrey,darkgrey,1,-0.20374531232937632,0.23833381693205066,0.5458108387368671,-0.4722446629537178
PSMA1,37,darkgrey,darkgrey,1,-0.20887448580305182,0.2216512048931176,0.06913244651050698,-0.01944881627625592
PLEKHA5,37,darkgrey,darkgrey,1,-0.18832491029772772,0.21396594552133147,0.4259148421852547,-0.4190503886154423
PPM1B,37,darkgrey,darkgrey,1,-0.0914811493026525,0.2022272191110709,-0.2675122161598456,0.37094744478601355
GALNT2,37,darkgrey,darkgrey,1,0.03615947121526085,0.19795326961529258,0.47059143235098,-0.42603105031976435
ABCA1,37,darkgrey,darkgrey,1,-0.19819457490789552,0.19084581266303943,0.3094877486460999,-0.27317894869026527
VPS54,37,darkgrey,darkgrey,1,-0.1756361765093044,0.188894161216993,0.4996234597112015,-0.5167256361051255
SPTAN1,37,darkgrey,darkgrey,1,-0.15095940094724825,0.187640344445082,0.29767537397664184,-0.2666120095870739
NFE2L2,37,darkgrey,darkgrey,1,0.06471386419961221,0.1844292268149186,0.3721315177457481,-0.2952997314291861
NBPF12,37,darkgrey,darkgrey,1,-0.053359965730663275,0.18301284287120523,0.28435693803862483,-0.20255155971476524
TPR,37,darkgrey,darkgrey,1,-0.09448892569932058,0.18076318586185025,0.40423452123166315,-0.3158008101631383
ARFGEF2,37,darkgrey,darkgrey,1,-0.22990682031304047,0.17956597002343355,0.27226673120440964,-0.2480957916467122
DYNC1H1,37,darkgrey,darkgrey,1,-0.30688742786650375,0.17916377493589467,-0.04015402401166271,0.13923065402375212
SOX5,37,darkgrey,darkgrey,1,-0.37450254967346636,0.17437165975452099,0.12872361508624947,-0.22200746047610245
GOLPH3,37,darkgrey,darkgrey,1,-0.23020659849644112,0.1689506097988158,0.2761821229276309,-0.29796413458660126
NNT,37,darkgrey,darkgrey,1,-0.0839638782081609,0.16475208308476663,0.16801743005193184,-0.09077408051469688
TLE1,37,darkgrey,darkgrey,1,0.006466736811290472,0.16437669287541862,-0.2033341124655217,0.3421426927496975
SARAF,37,darkgrey,darkgrey,1,-0.2548351257953511,0.15970618774874637,-0.1991549362969701,0.1978569445907441
ERGIC1,37,darkgrey,darkgrey,1,0.052394631229483214,0.15905921941056994,0.2058879482130604,-0.16182870690686627
NAV2,37,darkgrey,darkgrey,1,0.13278932567569618,0.15358062757962126,-0.07826002539707817,0.2747976271224372
DENND5B,37,darkgrey,darkgrey,1,-0.21580825972863527,0.13934849627761411,0.41743779055989405,-0.466594762200072
TTC37,37,darkgrey,darkgrey,1,0.018220686774661227,0.12929872391937175,0.4518311284243223,-0.448416222949565
LITAF,37,darkgrey,darkgrey,1,-0.11030299459637354,0.12664328263164815,-0.28241215873665004,0.31543528649875996
THRB,36,darkgrey,darkgrey,1,-0.00768589374068379,0.10887056235244003,-0.030879728863764538,0.09978867425706577
SLC38A1,34,darkgrey,darkgrey,1,-0.012390099292812224,0.09878985162396961,-0.3591786650668457,0.5025201654899897
CPEB4,37,darkgrey,darkgrey,1,-0.07109927903034888,0.09734672651258851,-0.07590962452501167,0.0807818225855558
ZFP36L1,37,darkgrey,darkgrey,1,0.1177317638906195,0.0858748898901429,-0.31434537874745005,0.46924804419464683
TP53BP2,37,darkgrey,darkgrey,1,0.10708942510535328,0.0855328661724931,0.37717043017243757,-0.31325777300698293
NCOA2,37,darkgrey,darkgrey,1,-0.008738837289276626,0.08488489201136998,0.22056275484621526,-0.194056510156103
EIF3E,37,darkgrey,darkgrey,1,0.019715070637849025,0.08003947312655971,-0.14162620466917047,0.20797500025359453
CLDN1,36,darkgrey,darkgrey,1,-0.05990873711060481,0.041241466628345734,0.08815755851154827,-0.09547161722382229
SHANK2,37,darkgrey,darkgrey,1,-0.1300707978975787,0.03464108755154449,0.23104283227061764,-0.23818765894532845
ERN1,37,darkgrey,darkgrey,1,0.04001621953054483,0.025214210543371744,-0.43168372139910177,0.5121967184961376
SF3B1,37,darkgrey,darkgrey,1,0.15961366015573772,0.023507893569071382,0.3870757905173403,-0.3849394093551028
MAN2A1,37,darkgrey,darkgrey,1,0.08049218685926574,0.018064471976341378,0.28606186648706067,-0.2987441185245837
VWA8,37,darkgrey,darkgrey,1,-0.09738982752911897,0.013287253360001293,0.3812497961166812,-0.4149178666028329
TAPBP,37,darkgrey,darkgrey,1,0.14865052332860007,-0.013465971658047608,-0.40499641924835467,0.508833189912852
TTC39C,37,darkgrey,darkgrey,1,-0.044220830903626544,-0.016819027161539046,-0.2967460472214575,0.38181170091489525
EIF3H,37,darkgrey,darkgrey,1,-0.1220960099080846,-0.021519749393295227,0.36461034308793505,-0.4863579089044741
CDK14,37,darkgrey,darkgrey,1,0.0706587118017658,-0.029010877600486457,0.22639744403397305,-0.3163675606428217
EFR3A,37,darkgrey,darkgrey,1,-0.024272124232461455,-0.03191902704166548,0.405360894930328,-0.48937666401718627
SIL1,37,darkgrey,darkgrey,1,0.1793082811102295,-0.037176469379074296,0.14510764209107632,-0.1295801112066799
STT3B,37,darkgrey,darkgrey,1,0.024975776766911678,-0.05025777199630575,0.423740130992767,-0.5094151303769773
CPD,37,darkgrey,darkgrey,1,-0.08728581504293674,-0.053732542736205924,0.3894415796315888,-0.49878632022849767
DUSP1,37,darkgrey,darkgrey,1,0.3220005396260452,-0.055910036116562166,-0.19327221038009174,0.23162925960889466
NDFIP1,37,darkgrey,darkgrey,1,0.07979237676791166,-0.0712539124506273,-0.10564395688778179,0.09643614112977145
CALD1,37,darkgrey,darkgrey,1,-0.17804676537006833,-0.07634175544937383,0.3106984753314346,-0.3902289758066687
EPB41L5,37,darkgrey,darkgrey,1,-0.1260313900019704,-0.08929007697979223,0.15051875029610412,-0.3246163954402356
AL391117-1,37,darkgrey,darkgrey,1,0.17677704790343204,-0.11632264652085365,-0.41513119080461464,0.5099414524860988
PCGF5,37,darkgrey,darkgrey,1,0.11700131164386326,-0.13198024118108376,0.3273743984484704,-0.3847964796460373
ATP2A2,37,darkgrey,darkgrey,1,-0.06601489189799695,-0.14453198888969657,0.23414376521337765,-0.3474259812363055
CADM1,36,darkgrey,darkgrey,1,0.12734523980967963,-0.1484381811626933,-0.2550504644725315,0.1390991464691111
