,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
XRN1,37,dimgrey,dimgrey,2,-0.4835943689404164,0.5864329503591649,0.8401860092478024,-0.7677721620679475
NFIA,37,dimgrey,dimgrey,2,-0.428287098622046,0.39237053948764117,0.840129778232211,-0.8570826941711441
NIPBL,37,dimgrey,dimgrey,2,-0.7471458424186779,0.7392281809945295,0.8392983514256224,-0.7601226626404153
KPNA1,37,dimgrey,dimgrey,2,-0.42790266425491674,0.5637614424414924,0.8384940532466114,-0.7572621438113994
FUS,37,dimgrey,dimgrey,2,-0.379994578073603,0.5891166411661409,0.8373369150744413,-0.7532825352414209
STRN3,37,dimgrey,dimgrey,2,-0.5238862019546435,0.5936954805920414,0.8366039966291676,-0.776976635344559
ZNF407,37,dimgrey,dimgrey,2,-0.5903375525643727,0.4135397035375519,0.8363992518555665,-0.8731127940564452
USP25,37,dimgrey,dimgrey,2,-0.4084599555735621,0.45649751057535176,0.8363854057036886,-0.7866848486101514
DPYD,37,dimgrey,dimgrey,2,-0.6905213092415386,0.6207970940381667,0.8356428150501665,-0.8166134188207596
NSMCE2,37,dimgrey,dimgrey,2,-0.5669731732154888,0.501354359728162,0.8337235592116435,-0.845986494466318
CTNNB1,37,dimgrey,dimgrey,2,-0.4293574813673134,0.48046254361451973,0.8336990666589317,-0.7853866222418708
HIBCH,37,dimgrey,dimgrey,2,-0.3420205633305703,0.40002104352519274,0.8336130426835442,-0.8264633172429204
PUM2,37,dimgrey,dimgrey,2,-0.48229466988361325,0.5834096480360912,0.8332823378368975,-0.7428631527334764
ATXN2,37,dimgrey,dimgrey,2,-0.6553252759960132,0.7120631414883519,0.8323925925573137,-0.7480325274915844
ZMYM4,37,dimgrey,dimgrey,2,-0.6341015555209343,0.6299220610698633,0.831567447470273,-0.771452138439087
LDLRAD4,37,dimgrey,dimgrey,2,-0.7426224004916068,0.8431649699789838,0.8313003937787529,-0.7167447660964095
ERBIN,37,dimgrey,dimgrey,2,-0.28784445830040084,0.34096396657260547,0.8312469542166491,-0.827634217012476
USP34,37,dimgrey,dimgrey,2,-0.7572498793448561,0.8016277152602513,0.8312195549954772,-0.7284096061418711
WDPCP,37,dimgrey,dimgrey,2,-0.4914141607930952,0.44375181420601345,0.8292378039173739,-0.8336395237580322
AGAP1,37,dimgrey,dimgrey,2,-0.23198489362757968,0.4423428049143552,0.8289219188896302,-0.7475755799484055
CNOT2,37,dimgrey,dimgrey,2,-0.4657571238576013,0.5252637057299344,0.8276955573320485,-0.7869796990910614
IMMP2L,37,dimgrey,dimgrey,2,-0.5455856589357846,0.5070963102540069,0.8276510838753552,-0.8173901650704064
ITSN1,37,dimgrey,dimgrey,2,-0.43597495755747434,0.5367456595901139,0.8273592446946711,-0.7659170737970866
PAN3,37,dimgrey,dimgrey,2,-0.7147414278501755,0.8287984085062352,0.8269033293525716,-0.6960412193899805
SORBS1,37,dimgrey,dimgrey,2,-0.2575677760593546,0.3304863950666014,0.8257210956017983,-0.8725810298481339
RALGAPA1,37,dimgrey,dimgrey,2,-0.6158826207533359,0.6169964201463355,0.8251906448422323,-0.7917548876000133
EXT1,37,dimgrey,dimgrey,2,-0.7308645481074577,0.7264904239912442,0.8250607272392565,-0.7167807733937274
SIK3,37,dimgrey,dimgrey,2,-0.8854486292505384,0.8967201705892436,0.8243816955597265,-0.6944218854007007
CEMIP2,37,dimgrey,dimgrey,2,-0.594019567577886,0.6495713561155991,0.8243520017720152,-0.8073361492244959
EPAS1,37,dimgrey,dimgrey,2,-0.44898674865450755,0.600678339182698,0.8237076976008398,-0.7366616092461344
KIAA1109,37,dimgrey,dimgrey,2,-0.38306692920538987,0.3905833099563935,0.8235285352427334,-0.8288024645051142
GSK3B,37,dimgrey,dimgrey,2,-0.24834335240214683,0.2245921592608127,0.8232040309369651,-0.849718562706776
HMBOX1,37,dimgrey,dimgrey,2,-0.5017949605791527,0.39641541242588174,0.8185141332891072,-0.8175737877052268
ITSN2,37,dimgrey,dimgrey,2,-0.666956470758161,0.7201957913208781,0.8183300991632458,-0.7598895248133605
FBXW11,37,dimgrey,dimgrey,2,-0.38308847244229366,0.33817735133003435,0.8179542518902709,-0.8542558431608607
PPP1R12A,37,dimgrey,dimgrey,2,-0.808773495222459,0.7809158749973762,0.8168652672548772,-0.7097250458515234
LRMDA,37,dimgrey,dimgrey,2,-0.1379389406253471,0.15032377969817137,0.8166041039797893,-0.8970287598298872
GIGYF2,37,dimgrey,dimgrey,2,-0.35789603090883576,0.5377441629571877,0.8165581399949918,-0.7352831265875489
LRRFIP2,37,dimgrey,dimgrey,2,-0.5005390746409437,0.4869324782506566,0.8165477850620733,-0.812111279663724
CCNL1,37,dimgrey,dimgrey,2,-0.47903288219245593,0.6442618279060799,0.8147267541039125,-0.7242232561359999
UVRAG,37,dimgrey,dimgrey,2,-0.5445799174495132,0.4425605991036435,0.813510370164178,-0.8054249589307432
FARS2,37,dimgrey,dimgrey,2,-0.23881175299655444,0.2835695475609005,0.8130903168313302,-0.8403462481675412
PRKCH,37,dimgrey,dimgrey,2,-0.8236536550348186,0.8685565370812881,0.8117392218041489,-0.649253920640755
NF1,37,dimgrey,dimgrey,2,-0.46998041130983476,0.5294350648838877,0.811591587604014,-0.767926269327593
UTY,37,dimgrey,dimgrey,2,-0.6353834600286559,0.7016807170244922,0.8114887234186852,-0.7092681998951932
UTRN,37,dimgrey,dimgrey,2,-0.6080293382224806,0.44289947281005676,0.8107631234696098,-0.812481835802644
ATP2B1,37,dimgrey,dimgrey,2,-0.3320719449403859,0.48527318417447746,0.8104362877238453,-0.7736667458597192
EPC1,37,dimgrey,dimgrey,2,-0.7490985865894336,0.6917306813152261,0.8100738931943681,-0.7461321351380146
CTNND1,37,dimgrey,dimgrey,2,-0.6429132292195033,0.45483419423137983,0.8098667992659504,-0.8489194624442352
PIP4K2A,37,dimgrey,dimgrey,2,-0.8192856823741758,0.8627362517381526,0.8096652810640447,-0.718427173699044
CHCHD3,37,dimgrey,dimgrey,2,-0.234328803388353,0.25288743606208197,0.8094987082279524,-0.8260613075049721
CHD2,37,dimgrey,dimgrey,2,-0.8355134613519006,0.8475001764523157,0.8094794101758824,-0.6845448879311224
FNDC3A,37,dimgrey,dimgrey,2,-0.354242466396011,0.2500462829023853,0.8093814141466105,-0.8747916178411469
MAP4K3,37,dimgrey,dimgrey,2,-0.5388585576061035,0.5235969061250136,0.8088927811316269,-0.7189110780456539
AOPEP,37,dimgrey,dimgrey,2,-0.5123321196707,0.4536581349543626,0.808688233618917,-0.777663955850325
PCM1,37,dimgrey,dimgrey,2,-0.3238337044451607,0.44574431533299586,0.8082524600488566,-0.7643176839949349
EHBP1,37,dimgrey,dimgrey,2,-0.3385625150756823,0.2839480811964082,0.8082439920523536,-0.8484970948863
SETD5,37,dimgrey,dimgrey,2,-0.47693485831649346,0.6631167846510736,0.8073917487168094,-0.7033195761119105
VAPA,37,dimgrey,dimgrey,2,-0.16608472801745175,0.29281862054480173,0.8069205330786835,-0.8032872372086463
AGFG1,37,dimgrey,dimgrey,2,-0.543739055616967,0.5030384434824974,0.8065133291955545,-0.766912079410345
CHD6,37,dimgrey,dimgrey,2,-0.5179821477224723,0.43933423850760134,0.8064381350471268,-0.7797585196109029
UBR3,37,dimgrey,dimgrey,2,-0.4689001548740739,0.3364736767136837,0.8063724236176523,-0.8434287285371325
RAPGEF6,37,dimgrey,dimgrey,2,-0.6854945334437212,0.6629199693682184,0.8060097301945723,-0.7538881090639898
ZEB1,37,dimgrey,dimgrey,2,-0.21092715635761386,0.23983143714973884,0.8054584447957411,-0.8042754550920869
HOOK3,37,dimgrey,dimgrey,2,-0.40915513867399594,0.5457073076246574,0.8052148017195325,-0.7179861709528587
HIPK3,37,dimgrey,dimgrey,2,-0.3457038234013774,0.3352041554216709,0.804641492900698,-0.8334669753510786
SMC5,37,dimgrey,dimgrey,2,-0.5636258010865172,0.6353249002617515,0.8043412542745443,-0.7163113895374461
FBXO11,37,dimgrey,dimgrey,2,-0.70426827995048,0.8233076545584761,0.8037984645326078,-0.6687934406943159
BRWD1,37,dimgrey,dimgrey,2,-0.4593259939885364,0.6410520504932252,0.8023298101861689,-0.6807661335863321
TBCK,37,dimgrey,dimgrey,2,-0.25911207008294773,0.2723727355718417,0.8021348112481129,-0.8451103930492235
JAK1,37,dimgrey,dimgrey,2,-0.3561838239287974,0.36386362443155496,0.8019930060659441,-0.8189556189952996
FBXL17,37,dimgrey,dimgrey,2,-0.6081778072670422,0.5036576480339412,0.8016322714804682,-0.7995682384039835
PAPOLA,37,dimgrey,dimgrey,2,-0.25404063872774324,0.333190881591261,0.798962108401366,-0.8036165271702191
ARID2,37,dimgrey,dimgrey,2,-0.5923358196620483,0.6629263871961333,0.7982915435027221,-0.7152481527701634
NBAS,37,dimgrey,dimgrey,2,-0.2965555384139991,0.22945463613680323,0.7982004858902757,-0.8732598880319804
PACS1,37,dimgrey,dimgrey,2,-0.8161296212554393,0.8979528062447506,0.7975616280274013,-0.650973998795344
PTBP2,37,dimgrey,dimgrey,2,-0.2087503958258836,0.4297801631278823,0.7963794469882269,-0.7225871335354672
AFF1,37,dimgrey,dimgrey,2,-0.429643325968527,0.421093924741868,0.7962990608764147,-0.8287899006053393
SNX9,37,dimgrey,dimgrey,2,-0.4089046349254996,0.42478131404186076,0.7962905864160083,-0.7833450156579096
SCAF8,37,dimgrey,dimgrey,2,-0.27358525975248615,0.3579908734375073,0.7962731243392428,-0.797730863278154
ASCC3,37,dimgrey,dimgrey,2,-0.29602471723270973,0.28518041111630094,0.7957213126585903,-0.8098173326688579
AP3B1,37,dimgrey,dimgrey,2,-0.5468219547895417,0.5726259771360644,0.7950443488608135,-0.7456276511478674
EHMT1,37,dimgrey,dimgrey,2,-0.775938990820625,0.8252257593670541,0.7949965556622712,-0.6768192406177205
MGMT,37,dimgrey,dimgrey,2,-0.3857850572941833,0.3805350960717468,0.7945559274355138,-0.7589961752005739
MAML3,37,dimgrey,dimgrey,2,-0.5692649337537509,0.47671147714765205,0.7943331958041968,-0.7674626775343196
ZNF638,37,dimgrey,dimgrey,2,-0.7597785821369397,0.70501553995097,0.794308843125889,-0.7338293251981813
NR3C1,37,dimgrey,dimgrey,2,-0.3179616682882422,0.4257752745130471,0.793792302248249,-0.7281910607402534
VPS13A,37,dimgrey,dimgrey,2,-0.16128352562001105,0.1977342866822672,0.7935081340533039,-0.8500442726941518
WAC,37,dimgrey,dimgrey,2,-0.7898969300761234,0.832952097924203,0.7925093873647008,-0.6325213231172533
RBM26,37,dimgrey,dimgrey,2,-0.37459239581810905,0.5492506121442485,0.7907907392884992,-0.6814339141209204
OGT,37,dimgrey,dimgrey,2,-0.5375526108551872,0.6915446991566204,0.790643726852679,-0.6497589437788195
SUCLG2,37,dimgrey,dimgrey,2,-0.5799453730736002,0.5801755831318567,0.789528045394736,-0.695890828655453
ZMYM2,37,dimgrey,dimgrey,2,-0.5576295555265207,0.7122566049919618,0.7881860937139312,-0.6396042809669243
CHST11,37,dimgrey,dimgrey,2,-0.8081570607031331,0.9226539455524182,0.788006077249188,-0.6047061142251571
STAU2,37,dimgrey,dimgrey,2,-0.5014013511887383,0.3447721880095632,0.7875797890653476,-0.8144828574038314
WSB1,37,dimgrey,dimgrey,2,-0.5473506622452593,0.6239955698771185,0.787201391931627,-0.7161302399563519
CEP350,37,dimgrey,dimgrey,2,-0.46900868917657146,0.3572561306729186,0.7871692904022873,-0.8117628707573574
PSMD1,37,dimgrey,dimgrey,2,-0.3747948096974007,0.3912329161252783,0.7869066770762663,-0.7732075467508112
SMAD3,37,dimgrey,dimgrey,2,-0.39901756612127637,0.4963326159910471,0.7861516942427896,-0.7076358868960199
NFKB1,37,dimgrey,dimgrey,2,-0.698073084779362,0.6826104893630688,0.7856090820404675,-0.7205023529466901
ACTR3,37,dimgrey,dimgrey,2,-0.2795131677287108,0.23325384162160587,0.7855378875451896,-0.839916745027041
