,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
ZFR,18,lightcoral,lightcoral,3,-0.477254863980366,0.2950444844557476,0.5297656101350346,0.6545572437941749,-0.5995554100491631,0.1697036604528695,0.5607007679003324,0.5139984343788688
LARP4,18,lightcoral,lightcoral,3,-0.549233669206872,0.37627307523455167,0.23022882448992557,0.6541783787799462,-0.5914468688944162,0.4849174258338849,0.4364150573944695,0.6925574889505819
APLP2,18,lightcoral,lightcoral,3,-0.2835654565770954,0.649925554364878,-0.1158095009685234,0.6518965726027981,-0.6296928987978107,0.8155015188102847,0.4323959968860769,0.3905941434633787
LONP2,18,lightcoral,lightcoral,3,-0.269321800212863,0.4773924315622583,0.43189948395354194,0.6498563690988657,-0.5862590535898228,0.12250702274041826,0.503563948465545,0.31104401223290107
KPNA1,18,lightcoral,lightcoral,3,0.036464930429714854,0.7183089762757144,-0.02575073212505866,0.6429196101607959,-0.6127668621705863,0.5544087078311435,0.4273122918516389,0.2649244315190468
HSD17B4,17,lightcoral,lightcoral,3,-0.22895324985451823,0.5601204237937302,0.17201600719449744,0.6424374053663772,-0.5166938254573531,0.3268526454133928,0.3447995617320089,0.29858879375992636
USP47,18,lightcoral,lightcoral,3,-0.46791161985510815,0.30878659162938676,0.4995697201333971,0.6418574184950243,-0.6971386505389399,0.4955142757089611,0.7013409347521892,0.40517732051617067
ARHGAP26,18,lightcoral,lightcoral,3,-0.4214679170141626,0.40649303238247897,0.23452891092711012,0.6394658487205898,-0.6694339404012111,0.726269019047505,0.5401139221699843,0.15882948075052822
SMG1,18,lightcoral,lightcoral,3,-0.8024663975427399,0.20959828087012072,0.552744044250239,0.6392673329016582,-0.7572315239133515,0.49836589118183905,0.7738927184322911,0.5162062738645538
CD46,18,lightcoral,lightcoral,3,-0.4047263740821972,0.5124349751945947,0.20757842362304782,0.637095182048228,-0.588158505043226,0.2967118079540917,0.44974779493949163,0.3317590830021302
DIAPH1,18,lightcoral,lightcoral,3,-0.23443524131952148,0.34852622073604467,0.5273645316253899,0.6364453804842432,-0.5351164295576443,0.23206562914223375,0.4691635104549399,0.2908871967622671
CELF2,18,lightcoral,lightcoral,3,-0.4374806700010557,0.21535663960295176,0.6573452543092908,0.6356323139375168,-0.7337538638085594,0.5268826915372989,0.7977874615756623,0.5356511040271567
TUT4,18,lightcoral,lightcoral,3,-0.6725330723195531,0.2836084103948798,0.4454854160529327,0.6336023034310481,-0.6848137757995072,0.589404811375041,0.6633788573551148,0.24297820356794453
LINC01473,18,lightcoral,lightcoral,3,-0.3467905511383739,0.5071357540800839,0.19403502948984813,0.6334965350164476,-0.6849817960523574,0.5517651360002159,0.6094898129628196,0.7526737174778746
SF1,18,lightcoral,lightcoral,3,0.05792989592768225,0.5669150368539977,0.35810356414149236,0.6325057027231569,-0.6203725257928316,0.5814818389089415,0.5248466037668239,0.23659654837384805
FP236383-3,15,lightcoral,lightcoral,3,-0.4148735534369791,0.23498445880657465,0.7714932532439821,0.6320335953106626,-0.718259380676904,0.30064138345778463,0.7977741880904096,0.1993238394358439
AIG1,18,lightcoral,lightcoral,3,-0.2568025767119424,0.40228302692827567,0.19696052934602298,0.6314562058039633,-0.6125927302202365,0.7507303310005488,0.48621484637499507,0.6053940528954032
SLMAP,18,lightcoral,lightcoral,3,-0.5654477915057582,0.29222354372775716,0.54723006483684,0.6306236567832186,-0.6959439443217522,0.2635643595367223,0.7563790502108821,0.36904249745991924
SSH2,18,lightcoral,lightcoral,3,-0.45070071586494465,0.43378703883886954,0.23495705516599108,0.628092707008884,-0.6928331080742449,0.4551848291765751,0.6053650736730096,0.6903465602774451
CLASP2,18,lightcoral,lightcoral,3,-0.3472970378606014,0.4953718932043156,0.13318862173892496,0.6278193450066091,-0.5955582281212275,0.4645063365553115,0.42087573107861675,0.3128818761853493
AOPEP,18,lightcoral,lightcoral,3,-0.253786632681175,0.4931698520203219,0.36834758628290265,0.6277751001469583,-0.7554564395526245,0.6271694805643319,0.7722880200184807,0.40052910111820506
EFR3A,17,lightcoral,lightcoral,3,-0.14272044126034475,0.5590201549449887,0.17035202417816062,0.6256883632214583,-0.4795643900687327,0.2893204511822989,0.2932708421636996,0.24385670911340743
WASHC4,17,lightcoral,lightcoral,3,-0.12805590361652514,0.5863312653339751,0.14972838141629916,0.6225684543474591,-0.48451008538302254,0.25996207849606734,0.2956834354129396,0.21549663474251327
VAPA,17,lightcoral,lightcoral,3,-0.11292962899818343,0.5542440529717818,-0.0849314668788919,0.6209118449539441,-0.5133564807833,0.6613154253442501,0.27954749520458605,0.33090933767779773
CYB5A,15,lightcoral,lightcoral,3,-0.08102735124241105,0.6239868965406706,-0.2107106701702794,0.6203860086553592,-0.38018015288336837,0.3693887907076566,0.0660662434804988,0.5514287515437022
SIK2,18,lightcoral,lightcoral,3,0.25037767747429224,0.6885718226542881,0.21069643796924484,0.6192718967780867,-0.5760270662291309,0.3494361979925388,0.4768793494518484,0.25075128373928274
PCNX1,18,lightcoral,lightcoral,3,-0.5082796764479521,0.2620509749495235,0.5724519016202297,0.6176635856559515,-0.7293238110675357,0.5684564152625509,0.7780359213490571,0.28412052673154814
SMIM14,18,lightcoral,lightcoral,3,-0.28750170098964584,0.3126397892676447,0.33186497276943117,0.6163110694584784,-0.5841953730020226,0.44076902864967515,0.471451332308504,0.6299373754607259
WDPCP,18,lightcoral,lightcoral,3,-0.14889594839481252,0.4304639664582727,0.49636239561399165,0.615808839846413,-0.7121622155892673,0.629748961541253,0.7130705237163265,0.1259390057197381
ATM,18,lightcoral,lightcoral,3,-0.19229531096426516,0.3380073852558079,0.45088953422344025,0.6138730638128472,-0.6216029437549102,0.5756151616308747,0.5461190249674056,0.11240175312160376
SCP2,18,lightcoral,lightcoral,3,0.019495791931127698,0.7195032873124793,-0.12192577498580713,0.6126158195812562,-0.45444128180000565,0.21788882213380853,0.20885757081614373,0.7146337890718837
RBFOX2,13,lightcoral,lightcoral,3,-0.2996598833903972,0.5505152826618445,-0.0015498184361752518,0.6114099026480939,-0.6257642710025725,0.6864966159574706,0.48874964183498115,0.5659913345624545
PTBP2,18,lightcoral,lightcoral,3,-0.16776680124940554,0.5068963261547718,0.22374121394361626,0.6088242729044393,-0.4849005282640061,0.30483379533114396,0.3046071804252987,0.1422451963797381
NCOA3,18,lightcoral,lightcoral,3,-0.4956853236781668,0.22234682871595216,0.5512168191060424,0.6073659408625299,-0.6417558578886944,0.6106988781799871,0.6135590716829495,-0.02637268630435203
KDM5A,18,lightcoral,lightcoral,3,-0.5695261829900433,0.197947168518862,0.7297142986015351,0.6071159831012475,-0.7016131390732768,0.10778577506728076,0.7774485426711746,0.3077332765513775
ABCA1,16,lightcoral,lightcoral,3,-0.22010171557081318,0.4542872877397865,0.002001570694989614,0.6065317198259512,-0.49582931145912074,0.44923709868859113,0.3041197352954279,0.7021377334643831
PIP4K2A,18,lightcoral,lightcoral,3,-0.5460258937917827,0.20199291897736746,0.80920007409054,0.606281031658976,-0.786136086510955,0.3217922627541254,0.9045423334622666,0.26855496708727145
ECPAS,18,lightcoral,lightcoral,3,-0.6150412329014443,0.22574265125671894,0.5945629443768748,0.6056103383970488,-0.760711889088427,0.6128192223443225,0.8370226065158372,0.3121377898615454
RAPGEF2,18,lightcoral,lightcoral,3,-0.33896711576663907,0.37616159920404335,0.2955950436518944,0.6048461487689014,-0.48149082393650866,0.3514223857876217,0.32670802190101716,0.31322387564168264
HTT,18,lightcoral,lightcoral,3,-0.408296436520449,0.4346313092271678,0.091180784540479,0.6039524719033935,-0.6770847048909531,0.7462959777916571,0.567137484913567,0.5358210203749364
PTK2,18,lightcoral,lightcoral,3,-0.3871939317298341,0.2613395266936717,0.5661440408191392,0.6020327500197507,-0.5780872221056118,0.036515151097064415,0.5777249621505891,0.5846906757715764
CCSER2,18,lightcoral,lightcoral,3,-0.4705157559820686,0.14960511768498222,0.6110459516347942,0.6014555659329586,-0.6147645663012782,0.4253186106746612,0.62264219631677,0.4613878681791585
SEC24B,18,lightcoral,lightcoral,3,-0.08689767839653602,0.4702298291070079,0.18260750940369352,0.6014169970739265,-0.5594455912431054,0.3833967954148491,0.47307421959929674,0.7512624639536836
NEDD9,18,lightcoral,lightcoral,3,-0.42542736265022724,0.2802227481866313,0.37858244933025,0.6008542471428922,-0.596474215340247,0.4084625814983925,0.5572471966429616,0.31134518736847233
GLUD1,18,lightcoral,lightcoral,3,-0.19402328914508957,0.44807541200747597,0.23230780958351388,0.5996155428069601,-0.4960924924931816,0.3371427209431029,0.41723971175858154,0.23732196145199194
POGZ,18,lightcoral,lightcoral,3,-0.320768650655125,0.33539172642598347,0.18932843601452365,0.5951244029053764,-0.5739273821577233,0.5911009618541602,0.46157190306669543,0.41882073343784026
SORBS2,12,lightcoral,lightcoral,3,-0.2661918365268342,0.5221332260352547,0.03620606812388485,0.5946532311217767,-0.6446200108280592,0.6421726526867011,0.5704470512463817,0.5182015198521248
ANO6,17,lightcoral,lightcoral,3,-0.23428468485590334,0.4348816900273324,0.01052622719146785,0.5919072266615987,-0.5023470570615117,0.7181372625782535,0.2856094507293176,0.14692340745179389
KTN1,18,lightcoral,lightcoral,3,-0.41086108697326434,0.3939917078104037,0.3499761505920094,0.58684167327328,-0.5266541794976611,0.079882988249469,0.43184315094752107,0.3312442439816633
OSBPL8,18,lightcoral,lightcoral,3,-0.030328636425665332,0.6167467700583809,-0.2215294653576565,0.5849158254691553,-0.4484819644698801,0.806764504191737,0.18272747938313322,0.17320433871384294
FNIP1,18,lightcoral,lightcoral,3,-0.4976410009835082,0.47722700411924346,-0.0620608865785106,0.5834720143932116,-0.5429839647451382,0.4849785015384483,0.3779019274849956,0.7951239428886677
BRWD1,18,lightcoral,lightcoral,3,-0.5036487612758233,0.27383384809782135,0.5770303751647216,0.5826269596392434,-0.7314144870729307,0.4148339304917393,0.7807185004538111,0.2841356501599883
STAT1,18,lightcoral,lightcoral,3,-0.34195478647634836,0.47019811543263873,-0.12382245744755026,0.5791660199509738,-0.45410913219570653,0.5379636778918905,0.2523859571841402,0.7027005281201236
PKP4,18,lightcoral,lightcoral,3,-0.3087890310641131,0.3380965982027962,0.4054837007837365,0.5790077336637187,-0.545474716230713,0.049923768504608175,0.51470259906512,0.7083162186248126
ROCK2,17,lightcoral,lightcoral,3,-0.17081547533277308,0.4031053906918897,0.061098023128518295,0.5779380944082673,-0.4597265432487802,0.5827015502383097,0.2754433199704173,0.27982769674099583
FBXL17,18,lightcoral,lightcoral,3,0.3395169854893789,0.646839518653101,0.17157747815613858,0.5750673453827316,-0.4927481536710535,0.2184695736863038,0.3523736226090501,0.43157340455562987
NSUN6,18,lightcoral,lightcoral,3,-0.3911947671971847,0.3466587873744108,0.30483518429391426,0.5738560172749643,-0.5569241541650303,0.4355834926076649,0.4462324444261665,0.05071422849599803
APMAP,18,lightcoral,lightcoral,3,0.007180763047740971,0.3790160291948697,0.45969090141477004,0.5714209393846207,-0.5303921998677888,0.5307844475355333,0.4657505393106913,-0.020952904723062105
VMP1,18,lightcoral,lightcoral,3,-0.5789563350381675,0.2128837823684628,0.2645953527524451,0.5674005745449323,-0.4759502379265158,0.37208524245019103,0.37608176298502677,0.3191319690233197
TTC28,17,lightcoral,lightcoral,3,-0.19796387067035198,0.47757799366375064,0.1312828002075315,0.5667351176575498,-0.4062933151710792,0.22400364155580446,0.2173205413720843,0.23315538160067814
ANKRD11,18,lightcoral,lightcoral,3,-0.5929550798724553,0.3260275816299475,0.2901152696384976,0.566375968966847,-0.7023218637189826,0.4771058855961436,0.7229037279343133,0.6621053557480726
MBNL2,18,lightcoral,lightcoral,3,-0.04719211418884069,0.5129029538644511,-0.15223956953505977,0.5650979779703844,-0.41811289628138837,0.5551629958347071,0.18973659696567885,0.6413825952084417
SON,18,lightcoral,lightcoral,3,-0.7364812214160738,0.19962115201562994,0.41283624897415244,0.5621764343657237,-0.7013069300768152,0.4143034917135971,0.7437840955532908,0.6661354993696381
PROS1,12,lightcoral,lightcoral,3,0.11011960314059148,0.457114309015363,0.29473636332007835,0.561829090846262,-0.4452452146761277,0.22137970648843608,0.3285454742472563,0.4067313881089053
SERPINA1,17,lightcoral,lightcoral,3,0.15355126287695245,0.6630193675049961,-0.21273774420195132,0.5589902527292736,-0.4233027252950231,0.6087011616297915,0.15828327122761773,0.16610647865912212
RICTOR,18,lightcoral,lightcoral,3,0.1847209969006085,0.5966443418767092,0.15607618646082919,0.5560493699862958,-0.45573023689380215,0.4126021902296218,0.2882126615315851,0.09529623120850843
NEDD4L,18,lightcoral,lightcoral,3,-0.09904458433310638,0.4634328077057772,0.016560257285908965,0.5526167461375034,-0.49932735955523877,0.619860938012433,0.3523253658288786,0.281192406041426
DENND4C,18,lightcoral,lightcoral,3,-0.20074465248742276,0.5570737509409934,-0.16481226948584463,0.551004016102895,-0.4061194331353538,0.4942162568912988,0.13991856057081636,0.3262378246866623
QKI,18,lightcoral,lightcoral,3,0.1109700437504627,0.7302231081320418,-0.23067157142679268,0.5473419136304196,-0.4873087380827758,0.7794038320718087,0.22813955027075036,0.12243859304787198
WDR33,18,lightcoral,lightcoral,3,-0.44646792381815364,0.1438526552821198,0.619408910552448,0.5447536286932411,-0.6406101414019689,0.3305490665411201,0.7487678877217445,0.7068931652297342
PDE8A,18,lightcoral,lightcoral,3,-0.3606796146437515,0.5213710601286509,0.0025858211958770558,0.5445604294043586,-0.5094256493540801,0.44135424696454323,0.3417381487849398,0.054435693898611644
EXOC6B,17,lightcoral,lightcoral,3,-0.13016376676510455,0.3887102276940921,0.02485403701978036,0.5438354421856538,-0.4061041987673456,0.6164578011171888,0.19049665491340975,0.08916878625493599
TUT7,18,lightcoral,lightcoral,3,-0.3652667354734349,0.5568155716539898,-0.10183601242128262,0.5331945641735205,-0.5476997217529143,0.6614696069106403,0.3752935886056772,0.1663549431807628
HADHA,17,lightcoral,lightcoral,3,-0.046742453514006306,0.4729484435058513,-0.04056336173502136,0.5329395185438135,-0.4224096024467769,0.5843804475866321,0.2063289129622197,0.15075887967963061
SGMS1,18,lightcoral,lightcoral,3,-0.16635647848934934,0.3569924743787656,0.43693292225790725,0.5310367647795546,-0.6310526154759509,0.41636498957275636,0.6342671038033949,0.47710245313943567
UMAD1,17,lightcoral,lightcoral,3,-0.16891092656073362,0.3952961061704349,0.3195990927045706,0.5289501236046634,-0.4198562850509026,0.11608947195937273,0.3136142469317956,0.2017735434153736
NID1,16,lightcoral,lightcoral,3,-0.32933809172240436,0.36373099722694774,0.12894529954661083,0.5262561308893902,-0.39998932157718337,0.060805514898903935,0.25617657632269386,0.6766470024663341
PLEKHA5,18,lightcoral,lightcoral,3,0.21043742238439045,0.6240031120102753,-0.10161392535240607,0.5238483426987689,-0.43068481097492534,0.34663318018475486,0.2528925875361712,0.6869580006863758
MSI2,18,lightcoral,lightcoral,3,-0.4856776757163256,0.2967989572129209,0.21811333791553492,0.5231725252948308,-0.4486411804033315,0.4135631307492586,0.3081386414345896,-0.030063322063289096
CUX1,18,lightcoral,lightcoral,3,-0.2339425752607123,0.23376697374825606,0.2843246660558991,0.521539493093476,-0.3880959470164246,0.33306896599325087,0.29452637355061767,0.30779438186019303
RBL2,18,lightcoral,lightcoral,3,0.01615047336502508,0.39508883404890294,0.3887028963015441,0.5196336329949003,-0.4528036341943437,0.2138378039532384,0.37077015728254276,0.27600071027257167
TBL1X,18,lightcoral,lightcoral,3,0.029200770077089377,0.4969078532687041,0.14533469575213834,0.5165459706771313,-0.3737082706060114,-0.014395919665632003,0.21162697095702832,0.5510051765051728
AKAP13,18,lightcoral,lightcoral,3,-0.5274351234722051,0.19791172882591065,0.4961305812304688,0.5154000883905121,-0.5249753109254843,0.18430097836431994,0.4907638545839788,0.12448952993107307
ZC3H13,18,lightcoral,lightcoral,3,-0.2141797280386485,0.19406054617180118,0.45153899580276574,0.5135107006033651,-0.47804074498736276,0.5154414344263238,0.4683230510724044,0.10301583468347915
DYRK1A,18,lightcoral,lightcoral,3,0.2010557696140339,0.5619789031082273,0.2938770910152788,0.5108874022061208,-0.5652451196209093,0.21481411600165473,0.5288728552581476,0.17625722271608393
LRBA,18,lightcoral,lightcoral,3,-0.0006098160442248885,0.2857924387768287,0.49401415232831225,0.5105713742533352,-0.5343346281727245,0.4505260768158135,0.5136948081321688,0.20892511615501638
PBRM1,18,lightcoral,lightcoral,3,-0.47312737009340133,0.08215324374033124,0.6495538167500883,0.5053141012042459,-0.6003282420702851,0.3911689781439395,0.7039042162066604,0.1434744405548233
AHCTF1,18,lightcoral,lightcoral,3,-0.4914872098246715,0.2032854381297621,0.31501713867322506,0.5039442518152277,-0.4555909346394715,0.4182692003712691,0.3691857009726016,0.3606267914696732
OTULIN,17,lightcoral,lightcoral,3,-0.1050559964179036,0.4821971237302285,0.08099158207392675,0.4958741170815108,-0.3459182713489511,0.17663262616467099,0.15761893068179628,0.02946694365293412
RAB2A,17,lightcoral,lightcoral,3,-0.09956367765765736,0.3883916963814848,-0.07104781603999001,0.4878909059739844,-0.3637435553291288,0.5978278807305324,0.1522315850360251,0.09776040429325648
PPP3R1,18,lightcoral,lightcoral,3,-0.41753040900818944,0.3285388583193587,0.23359792582525835,0.48629098794263104,-0.4683357807088255,0.2769425697884816,0.38175429447430836,-0.07033981709253948
NUP98,18,lightcoral,lightcoral,3,-0.5377468449566601,0.22191286073681102,0.25661629171972244,0.48538295115808977,-0.4204984061187474,0.373813546106802,0.32045938106333705,0.12954094015398773
IQGAP2,18,lightcoral,lightcoral,3,-0.16686431277756517,0.4861368449610844,-0.12486623609579908,0.4829522937105182,-0.4227309090346633,0.618301470900325,0.25921137272699074,0.5987035558063608
GRB10,15,lightcoral,lightcoral,3,-0.2728664089690901,0.28104893742878473,0.11962633263210884,0.4744401928714303,-0.4386770921523708,0.3831550275911451,0.40861825814041697,0.5632081347817846
GBF1,18,lightcoral,lightcoral,3,-0.2850646059532664,0.26131923054529144,0.16097032106400025,0.4736225617828449,-0.3769314473456182,0.4138989354479139,0.2599796252543538,0.07892161225726768
TRIM24,18,lightcoral,lightcoral,3,-0.5950282634957009,0.12103123535392588,0.34123251934722193,0.46696190158125817,-0.5259664437416468,0.23634187548446084,0.5690486568800711,0.6469175346883878
