,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
APOC3,17,darkgrey,darkgrey,1,0.13107399964192595,0.7264486419448354,-0.3855615885378768,0.5780189031993056,-0.3573399072432373,0.6675785280856268,-0.003954236111722697,0.2099579400062823
APOH,15,darkgrey,darkgrey,1,0.4796051210022864,0.7201813386583296,-0.4326322781088391,0.3527562878538192,-0.15135644860671574,0.4045986758212371,-0.14972887322273537,0.126624026736473
AASS,9,darkgrey,darkgrey,1,0.05247371654097446,0.7193427037754895,0.09651703113292111,0.6615728660773474,-0.6003190086241582,0.5060627396371696,0.459781648013208,0.4076586388193326
C8A,9,darkgrey,darkgrey,1,0.08376055289309259,0.7191762230886675,-0.07948882151673761,0.6120324951177545,-0.5154489377597358,0.5256544677303503,0.25309185345955243,0.4084153931208946
C4BPB,9,darkgrey,darkgrey,1,0.09241051900274996,0.7173030036552136,-0.12059092984079052,0.6061973323998863,-0.4966074033190012,0.5190578105680148,0.23491522038159546,0.39178371386612865
MAT1A,12,darkgrey,darkgrey,1,0.2974048638921127,0.7167194661359133,-0.411493753943369,0.35624531929433645,-0.21479356129245863,0.23111628822349176,-0.015374249624156278,0.39883297168967236
PON1,10,darkgrey,darkgrey,1,0.2663495372171281,0.7152009678649976,-0.5323384114572979,0.40352393070410697,-0.19837443689303808,0.4014023262918391,-0.11896314512172729,0.32553627179055894
CCNL1,18,darkgrey,darkgrey,1,0.06212357485498941,0.7138610180609555,-0.06711902085311897,0.650215967323681,-0.45196707696980704,0.5043165813315194,0.16084399540585814,0.15205713026907736
TRIO,18,darkgrey,darkgrey,1,0.10183319747451668,0.7114727625703082,-0.05088605256253366,0.5475253323179912,-0.4962068057869352,0.2642510184612878,0.27481672719387895,0.39196711222567626
ACSM2B,10,darkgrey,darkgrey,1,0.2546501532467599,0.7109931205731196,-0.47247213326824916,0.40675648597558844,-0.22458578594802106,0.3961470115238627,-0.09537072249479084,0.3103633974365597
ATP2B1,18,darkgrey,darkgrey,1,-0.2583334617453004,0.7100787361051285,0.05898996931801924,0.7006952080157179,-0.6986199598419899,0.5548348634777235,0.48974434927883437,0.28039955330825383
A2M,15,darkgrey,darkgrey,1,0.39910161115070547,0.7099853404978929,-0.24015684493974432,0.5050057512999087,-0.36981874674952275,0.7390898304854211,0.1135115938807181,0.1622545863399601
NFIB,14,darkgrey,darkgrey,1,0.28188035469457967,0.7085659466996796,-0.0830769573598024,0.522790012719625,-0.38991381595277735,0.33607476555319576,0.1659051348338405,-0.0726490028933662
CTSB,18,darkgrey,darkgrey,1,0.09255388590745799,0.7082647517716023,-0.5429711803986559,0.3998542960169937,-0.3412070349974826,0.5621450158240247,0.0700864408873165,0.4220776833277572
ARL15,18,darkgrey,darkgrey,1,0.12753424775155497,0.7022915013393416,0.19812118227850486,0.6592295702023252,-0.5852486994228076,0.3022082097775689,0.43253391582816303,0.46446556916710047
