,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
PACS1,18,indianred,indianred,2,0.020640880348261063,-0.5050663311745813,0.5429625426051443,-0.3772701091604448,0.1482036353781265,-0.46865294516393446,0.19861911706075042,-0.2900498726321299
SPATA13,18,indianred,indianred,2,-0.054564234516333326,0.25868533065293553,0.5348541877824174,0.4819763944306029,-0.5192585388008518,0.3531271611480414,0.5673453975927731,0.20473701668017819
DUSP16,18,indianred,indianred,2,-0.5176360603711668,-0.2735983731490818,0.5306135903938113,0.06489681844375328,-0.22815564300637042,0.03044537985774508,0.43345523073093367,-0.291804989839583
ATXN2,18,indianred,indianred,2,-0.3451187155570163,-0.17410073072776758,0.5292094094305222,0.16520243792409656,-0.22251246390261264,-0.09020762616749091,0.28474579127681754,-0.1983159619479661
FOXP1,18,indianred,indianred,2,0.05382147540821836,0.2742321151722267,0.5272301701198403,0.43419222107901667,-0.49557240175285516,0.14404660861427476,0.5008004960044137,0.11300274966244163
CRADD,18,indianred,indianred,2,-0.4407137030516141,0.02220377238111744,0.5249919160464751,0.3983144728753249,-0.40176699805246324,0.3065051507857118,0.46444868556976565,0.287129833498859
SMAD3,18,indianred,indianred,2,-0.49314467220680086,0.06489017850151392,0.5249841433599074,0.3196407457962278,-0.5237891252658582,0.1125268473035696,0.6413066407477249,0.20097250711003778
PATJ,18,indianred,indianred,2,-0.31447909779831357,-0.6864904285740389,0.5197669238177518,-0.2686652597516924,0.11931549060190892,-0.08434517259822766,0.10397077463467187,-0.34435270550097247
SPG11,18,indianred,indianred,2,-0.8322766742881803,-0.046147644545807595,0.5122434833433871,0.4412375233673047,-0.5233122001338115,0.47413409914796756,0.5554157627432877,0.26506596507957486
PTPN4,18,indianred,indianred,2,0.0789132505503165,0.2420086585488221,0.5113023418679279,0.32926750323054066,-0.41934034313502233,-0.019364745260663053,0.4922820269631521,0.0574248263815803
DNAJC1,18,indianred,indianred,2,-0.2038353192292758,0.0972597291594514,0.5037384374738271,0.3529160984880088,-0.327960330358042,-0.06380868901317868,0.30161146093244434,0.004451842412345141
HERC4,18,indianred,indianred,2,-0.4765351117200556,0.07875983364150886,0.5019289226212829,0.4287073352029531,-0.4819251268722767,-0.011161904665169626,0.5695652680226027,0.5641956516252736
THRAP3,18,indianred,indianred,2,-0.4169731511917436,-0.16735107583061312,0.5006397419165615,0.15444054051534323,-0.3276084968261631,0.08979830361813042,0.46552029240506076,-0.11251801789982648
RORA,18,indianred,indianred,2,0.0456007661157974,-0.6238528487423574,0.49047555656940833,-0.4665928018136591,0.3106584572109424,-0.4676255365673615,0.03649371365716267,-0.4598519421535678
AL391117-1,15,indianred,indianred,2,-0.1864108000709377,-0.09298441674722087,0.4896805815220654,0.15009755727474922,-0.22733913464429326,-0.2118539068801189,0.3648512117810294,0.47883626076294505
MTSS1,18,indianred,indianred,2,-0.4243217884153267,-0.6587919283431903,0.4864976861937962,-0.2643125650315894,0.14164324297868974,-0.18202463373717054,0.10795026406893943,-0.31741298939472457
PPM1B,18,indianred,indianred,2,-0.3970942468259288,0.07469202395079157,0.48552043076630685,0.4097064401575154,-0.3886831264157077,0.03845622255413254,0.4489509273963237,0.3759097260499735
UHMK1,18,indianred,indianred,2,-0.05864988069995127,-0.1744250261068755,0.48465412727645174,0.10291104102094545,-0.11531272998509996,-0.10090144214142167,0.21863227326099943,0.00767462158678673
RMND5A,18,indianred,indianred,2,0.09794156030622764,0.3231596721442364,0.4789975496271013,0.41561549968905626,-0.43629865347863656,0.08791229558168559,0.4902141433252685,0.22143426141988704
ANKHD1,18,indianred,indianred,2,-0.5342925327762729,-0.1951423420600963,0.47712821664052096,0.1534233984877313,-0.2661245809145268,0.2819592354708559,0.35791814594574056,-0.3633969051787066
PARP8,18,indianred,indianred,2,-0.1949601915895695,-0.8391725912874651,0.4763592554585107,-0.5286168624779747,0.34359119297382856,-0.3748627990620938,0.004600887932554362,-0.4476781849589112
RBM6,18,indianred,indianred,2,-0.3014460128378157,0.29301635696325345,0.469126454938488,0.4948882894120669,-0.4941787513383445,0.013097980362188354,0.5369866106167026,0.5749237953165306
ZNF609,18,indianred,indianred,2,-0.6592491103988882,-0.07011652309627409,0.46156590356455757,0.33488864089115516,-0.45204426895746574,0.4667922363177785,0.47017725433645635,0.21583376473034557
CADM1,18,indianred,indianred,2,0.07081653698739873,-0.657569185489519,0.45654404896540723,-0.473208339368888,0.3862091747340112,-0.6659171388166548,-0.10259917129324327,-0.3476023309251187
TFR2,14,indianred,indianred,2,0.2254370580234324,0.1727563881402166,0.45566494766632465,0.20596027469407835,-0.193647565113293,-0.15799153892435758,0.2601635641493293,0.013795247019791651
EIF4G1,18,indianred,indianred,2,-0.12485018027950227,0.05635582822013642,0.4527817657768466,0.2934784395367132,-0.3601759334080171,0.33269027709883403,0.40702868700553047,0.05624901302032406
WAC,18,indianred,indianred,2,-0.8252138451210997,-0.034271849575014175,0.45238188523867223,0.38196082546152865,-0.531223404818685,0.4438333570786278,0.5695753989622827,0.016121947316620307
TGOLN2,18,indianred,indianred,2,-0.17286418215407762,-0.37619037771477076,0.45221614987556796,-0.1964908478812522,0.0386874389505433,-0.5163981021952356,0.21642607157273283,-0.13665548807643257
LSM14A,18,indianred,indianred,2,-0.24566826984062298,0.13614112536790804,0.4466707224274996,0.3839907331979594,-0.423510421138083,0.4691659528404789,0.45815194738014714,-0.22129039197580683
PTPRM,18,indianred,indianred,2,-0.3752608865817441,-0.1293376971123067,0.4459930621251168,0.13945887170180238,-0.3412376429751162,0.22751182338366477,0.5061243554874392,0.045399256382210026
PIK3R1,18,indianred,indianred,2,0.258964040056965,0.36537584297333475,0.44105014874972115,0.3805851438848889,-0.4474728472269119,0.10813522434226155,0.521966485567498,0.09422609860983079
MAP4,18,indianred,indianred,2,-0.3529272573197967,-0.43318070372607675,0.43794114900008,-0.10937554262432922,0.03918327728990248,-0.5547260169030042,0.15096619313981693,0.11023295633427095
BTAF1,18,indianred,indianred,2,-0.5105985721381754,-0.06916712497712602,0.4364464832070166,0.33132159445959525,-0.3212874683126375,0.15680701884092949,0.3201640473126074,0.330011444949417
FNDC3B,18,indianred,indianred,2,-0.500889794256045,0.024117469811222193,0.4315550704684221,0.2890500887679547,-0.3639158658878098,0.22665728286742903,0.4293307484797073,-0.28820831029487004
PRRC2C,18,indianred,indianred,2,-0.743198644334826,0.2147158495240665,0.4315225256703282,0.5809941217902316,-0.6149069885995617,0.29771674925203334,0.6233190612641565,0.5296418797938498
KLF12,18,indianred,indianred,2,-0.1220644159294696,-0.09585331046362186,0.43023531276731347,-0.0024744613255440018,-0.19592004400586982,-0.24099533448733243,0.425194394264607,-0.16656146142339134
