,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
RPS3,18,lightgrey,lightgrey,4,0.7385350335682245,-0.46058710522300056,-0.5520556920501647,-0.8711862258684767,0.9431129687754528,-0.6317571764039072,-0.887991266805697,-0.5938785859301869
UBA52,18,lightgrey,lightgrey,4,0.506721779316744,-0.5116819408023539,-0.5886838286690168,-0.8707417344504752,0.9424420640550488,-0.6778938587676423,-0.9075587113375974,-0.5178379136782707
MYL6,18,lightgrey,lightgrey,4,0.4010078070843602,-0.6925800217481546,-0.4429216434775715,-0.9405006233199017,0.9396181505514433,-0.6628304280758491,-0.8192689420144843,-0.6126641357996084
OAZ1,18,lightgrey,lightgrey,4,0.6555991467861285,-0.46515392406197414,-0.6091692090288918,-0.8810494189969504,0.9395122522705179,-0.5862769096275275,-0.8810924541542565,-0.4977784614977467
RPS17,18,lightgrey,lightgrey,4,0.6249617326363535,-0.4692258622386793,-0.5948271798644102,-0.8614116733942734,0.9389381073578712,-0.5942738739639749,-0.9079020407413222,-0.5557370424475574
RPSA,18,lightgrey,lightgrey,4,0.6490122315999708,-0.5114468080106548,-0.5375643290996271,-0.8994757920871892,0.9372897554687071,-0.7230923080980176,-0.8445696003880819,-0.440572273025093
DUSP1,18,lightgrey,lightgrey,4,0.7376925489256936,-0.4237435808062475,-0.6077434432033872,-0.862163631947993,0.9356153377453049,-0.6600712104938802,-0.8886487419991497,-0.478673236393106
TMSB4X,18,lightgrey,lightgrey,4,0.7193637912076766,-0.543741330911117,-0.42398685057967644,-0.9038695139096539,0.9345222635032021,-0.7188086311888205,-0.8205477422376432,-0.6002596179911576
RPS25,18,lightgrey,lightgrey,4,0.7074673944156188,-0.38327604993989356,-0.6683811595656055,-0.838996951381835,0.9339752415646966,-0.6274494817209104,-0.922659338815129,-0.5281076811235341
RPS6,18,lightgrey,lightgrey,4,0.7614943859285289,-0.38052119384637884,-0.6370088535880184,-0.8392751017704604,0.930500827640212,-0.6629549740385828,-0.9040649848554406,-0.46987688655701626
KLF6,18,lightgrey,lightgrey,4,0.2622435452724608,-0.7290696492859104,-0.4121814365070811,-0.9124104809971748,0.9302312880453282,-0.7259554081989412,-0.8158702617588605,-0.4876101513925485
RPS11,18,lightgrey,lightgrey,4,0.5535542045959578,-0.5308364128429756,-0.5593489049167872,-0.8781363849352789,0.9293060430124387,-0.636398202651562,-0.8838378280198713,-0.5402022788792332
RPS4X,18,lightgrey,lightgrey,4,0.6789893278590284,-0.46905514810512267,-0.5639200241676658,-0.8653331595956105,0.9287591536658976,-0.6477331790823031,-0.88089268061979,-0.5651269908779929
RPS15A,18,lightgrey,lightgrey,4,0.714802115021925,-0.3948445646993072,-0.6591525762358805,-0.8337665868689245,0.9251862100542038,-0.6145318106367791,-0.9252047845456822,-0.4505239011631509
NFKBIA,18,lightgrey,lightgrey,4,0.5224126427456112,-0.6168853059383324,-0.4515960697918285,-0.8861888514019862,0.9251402365915085,-0.5442171937655029,-0.8279963519129818,-0.6589488236119985
RPS24,18,lightgrey,lightgrey,4,0.7526924139093844,-0.3881286284282773,-0.6443303041389075,-0.8395341307963988,0.9244023758674436,-0.6410896575220335,-0.899614343186848,-0.4659572671998228
SERF2,18,lightgrey,lightgrey,4,0.6956137100602082,-0.4029991196128299,-0.6451037419779426,-0.8472764983627944,0.9232096542857636,-0.6525188153030116,-0.8910029926690459,-0.48049282108497793
RPL9,18,lightgrey,lightgrey,4,0.6932094238449686,-0.37584894147481207,-0.6811188430377885,-0.8524100795039928,0.9230240134476089,-0.6407880900408847,-0.8904419309786086,-0.48675106745369606
JUND,18,lightgrey,lightgrey,4,0.2397025805118938,-0.8045043206854093,-0.29333212638453177,-0.9164405944131806,0.9225717771326365,-0.7391937212955246,-0.7659630233513052,-0.5922007270895923
RPL18A,18,lightgrey,lightgrey,4,0.7278385799963146,-0.4078850953649097,-0.6020735468623684,-0.838152165336222,0.9215191596235306,-0.6406060066181848,-0.8925198539009294,-0.5239247217268567
RPL38,18,lightgrey,lightgrey,4,0.3504792812004628,-0.5961062738173594,-0.5425311964964247,-0.8775214478968598,0.9204733062745644,-0.6551986246327914,-0.8479824883153899,-0.4826328423126039
RPL17,18,lightgrey,lightgrey,4,0.6735487652253221,-0.417815510054004,-0.6075314523124918,-0.8445279316285726,0.9204054776652492,-0.6917176829809386,-0.9032931162404845,-0.5380603840203457
RPS27,18,lightgrey,lightgrey,4,0.7859439792757966,-0.4256339789390121,-0.5275193659744162,-0.8534334804686462,0.917033777522174,-0.6756471732667987,-0.8575570702010996,-0.5595034889013312
RPS9,18,lightgrey,lightgrey,4,0.6515968413014963,-0.4429419514098685,-0.6412264480959787,-0.8546320580294664,0.9156734341052234,-0.4774996650860723,-0.9035301199826921,-0.6097810125596067
RPL26,18,lightgrey,lightgrey,4,0.7475889944548442,-0.2832443031382069,-0.7566603472750127,-0.7904022257763432,0.9114756650729084,-0.5619590999562812,-0.9510055493311327,-0.43488587641420895
HLA-E,18,lightgrey,lightgrey,4,0.3737423141194609,-0.8108110495675753,-0.19017852922176337,-0.9412826660572269,0.9113953981125585,-0.7255584876168729,-0.7108407034470902,-0.5956667843606311
ACTG1,18,lightgrey,lightgrey,4,0.7026969567893413,-0.5418509331307664,-0.4132917815674257,-0.8777222290485566,0.9111491957257599,-0.6907591205911396,-0.8073891977400917,-0.5864126551942953
RPL3,18,lightgrey,lightgrey,4,0.5871961611244612,-0.621084055715706,-0.3822333787556072,-0.912590319344653,0.9109162821411313,-0.6682809323104504,-0.7641085552007449,-0.6634321097463083
H3F3B,18,lightgrey,lightgrey,4,0.7045995119974833,-0.34083259256858434,-0.7117252985124874,-0.7899911851069475,0.9104621210531354,-0.5505954812864353,-0.9502220838908032,-0.47149131027204827
RACK1,18,lightgrey,lightgrey,4,0.673665231160884,-0.35638225837754095,-0.6381303315204946,-0.8161412606775583,0.9102330881410235,-0.6830117741547079,-0.8959907825306467,-0.46237462945532265
MT-ND3,18,lightgrey,lightgrey,4,0.13770227883700922,-0.7929083855772855,-0.3757595962352477,-0.9161208344030457,0.9096559362404808,-0.6808768241128227,-0.7712460749023414,-0.5510910460820335
RPLP1,18,lightgrey,lightgrey,4,0.7935317514495539,-0.4243081369426948,-0.4994180297655064,-0.8490849391705031,0.905755540316907,-0.6949826435431854,-0.8353893007317478,-0.5370398719281365
MT-CYB,18,lightgrey,lightgrey,4,0.12118636826153348,-0.8330288672790407,-0.31742332787376387,-0.928909843610949,0.9055382049372819,-0.6998509403035175,-0.741671653547313,-0.5672108785582951
TMSB10,18,lightgrey,lightgrey,4,0.790156737632324,-0.42860767653868875,-0.5002138009755576,-0.8505085123667486,0.90412838977171,-0.6551751223522647,-0.8307877824636695,-0.5689170196784311
MT-ATP6,18,lightgrey,lightgrey,4,0.1140948622714287,-0.7988597055829094,-0.3632688115360585,-0.9105097432627992,0.9016563902528711,-0.676088059545288,-0.7603477483703034,-0.5466853673943131
PDIA3,18,lightgrey,lightgrey,4,0.45366164415784216,-0.6589983706345691,-0.4153920633756645,-0.8887003471280034,0.9002990960899145,-0.5923880457922714,-0.7830521837250206,-0.6226696399478135
COX7C,18,lightgrey,lightgrey,4,0.669120082874244,-0.3337021984456287,-0.6927069023778205,-0.7571770025221748,0.899589678552239,-0.43955058767286076,-0.9380674843942277,-0.5878661015391324
RPL4,18,lightgrey,lightgrey,4,0.6833083307607912,-0.3932399602803484,-0.5765679777391224,-0.8224606215707684,0.8991903366635303,-0.644430755833233,-0.8652908584419098,-0.6379601707040671
HLA-C,18,lightgrey,lightgrey,4,0.5375465995117353,-0.7189356715462699,-0.207330857833566,-0.9380835327031111,0.8988930691459833,-0.7730656754514609,-0.689486126452453,-0.6362572755235912
MT-CO3,18,lightgrey,lightgrey,4,0.10641992927962986,-0.8226414751575708,-0.32795305185736134,-0.918863128920427,0.8988613223178171,-0.6850312889290596,-0.7439947945916662,-0.5540571562532906
RPL11,18,lightgrey,lightgrey,4,0.7796454243426946,-0.39474947437301955,-0.5560741326707203,-0.8411491575489739,0.8948708295877709,-0.6369946517529109,-0.8271547605809437,-0.5387030721670331
RPL6,18,lightgrey,lightgrey,4,0.6949732347147868,-0.34039630127519876,-0.627903107352031,-0.8010452481234704,0.893980279900045,-0.6691771274644446,-0.8702819157459085,-0.4980270762379189
MT-ND2,18,lightgrey,lightgrey,4,0.09827149865885487,-0.8448662520422469,-0.29111347526279485,-0.9232607779264898,0.8937114242402648,-0.6984101422810526,-0.7226790182636015,-0.5706226756784137
MT-ND1,18,lightgrey,lightgrey,4,0.10427190809807163,-0.857316630187775,-0.2740607879786589,-0.9290361219582182,0.893021838286889,-0.7097194471197898,-0.7178087676930326,-0.5738339069502271
RPS3A,18,lightgrey,lightgrey,4,0.48132001292357407,-0.4538913670630808,-0.577066967593143,-0.7900957624189793,0.8914038697488413,-0.6604497509539125,-0.8928661759315776,-0.4112733720398431
MT-CO2,18,lightgrey,lightgrey,4,0.08486296720081903,-0.8332801660916161,-0.31127961349912076,-0.9135984876675368,0.8896325261906273,-0.6804444005392464,-0.7263031914442288,-0.555888940424888
RPS18,18,lightgrey,lightgrey,4,0.831133883079218,-0.2969468093556709,-0.6315767943779474,-0.7920185884895081,0.8844778040108379,-0.569228782302183,-0.8887791590596652,-0.5461062660475277
RPS13,18,lightgrey,lightgrey,4,0.6459219056327987,-0.3014912724725628,-0.6982786046948604,-0.7808200908397596,0.8841089686430579,-0.6699526983119553,-0.8984432434802584,-0.415813869296017
PSAP,18,lightgrey,lightgrey,4,0.7053815717468591,-0.45541997372204845,-0.5303753767433429,-0.8294422608432591,0.8807734211219972,-0.5194902595541299,-0.8330971306793327,-0.6078059673580167
MT-ND4,18,lightgrey,lightgrey,4,0.06384996197706388,-0.8663793194552888,-0.25440617826099804,-0.9197432375735276,0.8785294646819146,-0.695399541391956,-0.6952207366808185,-0.5665192132341712
HLA-B,18,lightgrey,lightgrey,4,0.5416309325758631,-0.69985401895615,-0.1651853202603828,-0.909008220685761,0.8629881374417784,-0.7704617633194306,-0.6507367800521914,-0.7150042890840685
HSPA5,18,lightgrey,lightgrey,4,0.29965473972308604,-0.6660390948900226,-0.33807450421855345,-0.8299849219729709,0.86074768518395,-0.576624757006278,-0.7377515886909178,-0.6759029825124312
MT-CO1,18,lightgrey,lightgrey,4,0.045725266638675335,-0.9093414373539563,-0.16803065033890155,-0.9238764371128924,0.8598169979036658,-0.7172944668306273,-0.6414204571121198,-0.5823607997706555
PRDX1,18,lightgrey,lightgrey,4,0.3439383957498665,-0.5247789719230901,-0.5519594593845308,-0.7679671043080142,0.8586405176699525,-0.5302440962491628,-0.8484827261715044,-0.5052280405246454
RPL7A,18,lightgrey,lightgrey,4,0.8015595113982552,-0.27132121050078434,-0.6874622061640098,-0.7696022045949227,0.8529072436918956,-0.5065463411762953,-0.8606321487177598,-0.5318129374670355
MT-ND5,18,lightgrey,lightgrey,4,0.024813831389342924,-0.9034856495713255,-0.17194246643993577,-0.9076989591347383,0.8497337761391448,-0.7062594513502249,-0.6384206205915877,-0.5647124357280585
LITAF,18,lightgrey,lightgrey,4,0.1286278829618392,-0.8162153675412682,-0.23023432291613488,-0.9005080346761598,0.848725315688599,-0.685227838273062,-0.6570639643901116,-0.5798716224709031
DNAJA1,18,lightgrey,lightgrey,4,0.1348300946867595,-0.6102560674553954,-0.5609042478283526,-0.7934816301184332,0.8457982980681032,-0.5264427187376581,-0.8202784835718158,-0.4519837337642984
MTRNR2L12,15,lightgrey,lightgrey,4,0.07891629351702444,-0.7252341920336018,-0.38206810724047946,-0.8442379428076371,0.8437108644851853,-0.6080042178757147,-0.7387610093421687,-0.48970193742979923
HSP90AA1,18,lightgrey,lightgrey,4,0.060991412106697104,-0.6816292162248853,-0.4735324397167863,-0.8254429953623856,0.8436406100213414,-0.5365722849212594,-0.7733373511216795,-0.49379205151423683
ATP1B1,18,lightgrey,lightgrey,4,0.56108144455093,-0.37321037743446894,-0.6625604949717112,-0.7586321408438746,0.8415053788964724,-0.474158785566845,-0.8470166336172399,-0.3946761536049057
GAPDH,18,lightgrey,lightgrey,4,0.8286967626895213,-0.19007771673290516,-0.7028191189217919,-0.7290872706783351,0.8389624961843959,-0.612817475715021,-0.8734660638842076,-0.37724010300629707
PABPC1,18,lightgrey,lightgrey,4,0.8069900187296339,-0.28680065175339187,-0.6134793148390201,-0.7222866794228484,0.8362117113907858,-0.45124842919967556,-0.8648884257743022,-0.5349438107087576
FAM107B,18,lightgrey,lightgrey,4,0.08125062072960064,-0.7987719255226275,-0.20366208270168568,-0.8508990894351195,0.8353109259548207,-0.6101158717317546,-0.6809269717810235,-0.5936825944323902
HSPA1A,15,lightgrey,lightgrey,4,0.20690535414947153,-0.582015592159278,-0.4905893764160516,-0.7875542792661872,0.8343824795627132,-0.5562405949325216,-0.7398347820500655,-0.464322783861212
HSPA8,18,lightgrey,lightgrey,4,0.10311596559590207,-0.6426077076025061,-0.48786363828068036,-0.8160250134907463,0.8329818801013781,-0.5693548479497466,-0.7538122549463465,-0.4783505556293997
EEF1D,18,lightgrey,lightgrey,4,0.6729015794469896,-0.5042548165166151,-0.3714713559766611,-0.8502282635405046,0.8323551053357728,-0.5995997716327395,-0.6969376273814466,-0.6087080445701504
MT-ATP8,18,lightgrey,lightgrey,4,0.019778097240141512,-0.9363848039437825,-0.08412034897281878,-0.9171878452644183,0.8126823004297266,-0.724512122198271,-0.5514145576619605,-0.5571070088458766
TPT1,18,lightgrey,lightgrey,4,0.7875206904444593,-0.1586387979604435,-0.7442080018497044,-0.6810230901458733,0.8100377817362091,-0.4294108620697764,-0.8884233835028726,-0.49011496205309907
H3F3A,18,lightgrey,lightgrey,4,0.5292741125743688,-0.28726172024100555,-0.623868879929251,-0.7334569487907742,0.802754324982022,-0.6230092920236526,-0.8012411555990036,-0.5001638285877046
SQSTM1,18,lightgrey,lightgrey,4,0.2961744515814106,-0.37757658739181776,-0.7315662472624624,-0.7164389081357311,0.7995192557237165,-0.31869734505922487,-0.8428144691565161,-0.3894912364751871
DNAJB6,18,lightgrey,lightgrey,4,0.15510397717465654,-0.5164066572548806,-0.5513673688805746,-0.7145546502512342,0.7974661039480819,-0.48468720626982387,-0.8265564210531241,-0.41403498855723314
UQCR11,18,lightgrey,lightgrey,4,0.5002754110480817,-0.3498296607664788,-0.6301612415065632,-0.7395960409742639,0.7961140624113339,-0.631329110917337,-0.7814940793433587,-0.35572585400316364
RPL7,17,lightgrey,lightgrey,4,0.48567446981717993,-0.3557104353969313,-0.5607012982987323,-0.690360419500439,0.7841058847934208,-0.47087281057741726,-0.7609185321924439,-0.3616317718269586
PTGES3,18,lightgrey,lightgrey,4,0.15783224440459728,-0.49717854544471846,-0.5107538097075965,-0.6561524737446826,0.7818390755672667,-0.5074864822562821,-0.7880775915775805,-0.3774733054829925
UBB,17,lightgrey,lightgrey,4,0.33989646978963295,-0.43033945622732556,-0.553213701080121,-0.7094012589405244,0.7769527332294929,-0.4586803638246031,-0.7535481227339504,-0.44130096574303584
HMGB1,18,lightgrey,lightgrey,4,0.07407693819613258,-0.7104042931244774,-0.3401863306901392,-0.7818342770423894,0.7629023241180338,-0.41175205418868344,-0.6330022068149732,-0.40413162423025883
RAP1B,18,lightgrey,lightgrey,4,0.14553670709363647,-0.8065010040464181,-0.010521189090818865,-0.8448176713017227,0.7611469618950141,-0.662346467797435,-0.5063178369965581,-0.7479788493563865
UBE2H,18,lightgrey,lightgrey,4,0.17345604797464093,-0.5207490593060201,-0.35925139896271363,-0.6926907144232592,0.759783532925588,-0.7105356535765819,-0.6886484104320445,-0.323847045294989
CALR,18,lightgrey,lightgrey,4,0.6153542268736992,-0.39076057261799874,-0.42080574670737275,-0.6716144061364229,0.7568091735117896,-0.5466793760527885,-0.7042337827945114,-0.1988611654531291
MT-ND6,18,lightgrey,lightgrey,4,0.051331717463592295,-0.8664931728853538,0.048734347173901335,-0.7909312335508816,0.7390756302717506,-0.7409811924407278,-0.48265304963472844,-0.511582072097701
