,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
ITCH,223,dimgrey,dimgrey,2,0.07135537018836136,0.44374855568152005,0.6225800234973229,-0.30559258982714405,-0.2835082847204943
EIF4G3,223,dimgrey,dimgrey,2,0.2722907989816837,0.31287186190462984,0.621220319454324,-0.4568883430133935,-0.2835157854578012
ANKHD1,223,dimgrey,dimgrey,2,-0.0899857891022617,0.5608549622238217,0.6206148461468869,-0.1603506983667247,-0.2115101213588258
TUT4,223,dimgrey,dimgrey,2,-0.17041695871893486,0.5970801290604912,0.6204346323947597,-0.08903794872114534,-0.3001629300555858
CHD1,223,dimgrey,dimgrey,2,0.12833425286317643,0.4104740912549764,0.6202876772074803,-0.29674671520329693,-0.3619467133439744
DENND4A,223,dimgrey,dimgrey,2,0.21196558637377316,0.3512626946959031,0.6198835186136464,-0.36182386221525015,-0.5056160398124787
PSME4,223,dimgrey,dimgrey,2,0.19926747434941652,0.37454153635914034,0.6166528048317746,-0.3138727512806732,-0.5961942289272701
NUP98,223,dimgrey,dimgrey,2,0.11481968134159394,0.425792565390101,0.6146148598027815,-0.3028863895457798,-0.2954464062215486
RBM39,223,dimgrey,dimgrey,2,0.33681724335361246,0.23862619718847386,0.6137952938403489,-0.485940293928474,-0.5294380297292907
ST3GAL1,223,dimgrey,dimgrey,2,-0.10785904663016835,0.5549347498426803,0.6136775656796449,-0.1804090688738551,-0.23755676713239257
ZFAND3,223,dimgrey,dimgrey,2,-0.13178096335591313,0.5636328910811821,0.6093776046104888,-0.09268402904605888,-0.24958714214355918
RAP1A,223,dimgrey,dimgrey,2,-0.1735450129167274,0.5799846367709673,0.6047760427296469,-0.03691414407961103,-0.44337170115422697
GNB1,223,dimgrey,dimgrey,2,0.23530377908447306,0.3426768932682212,0.5981797875619063,-0.4167768344931286,-0.19454242209834682
TCF25,223,dimgrey,dimgrey,2,0.4961285489416433,0.12324473568764618,0.5968260282235646,-0.6637989405203892,-0.5299743124816797
CCND3,223,dimgrey,dimgrey,2,0.578200208654196,0.029235949602971562,0.595493735467561,-0.8440322131493497,-0.30559883701455987
RAP1B,223,dimgrey,dimgrey,2,0.42870099592105443,0.13771180035499667,0.5918108715439255,-0.6276963794223923,-0.43195316494590225
TRA2A,223,dimgrey,dimgrey,2,0.4831717332280113,0.11793967431464811,0.5909787945265049,-0.6268623065204265,-0.5724801919336794
