,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
ZC3H13,220,darkgrey,darkgrey,1,-0.2827232777956573,0.33121042227246733,0.16537230405396428,0.1580148491893823,0.0025656070518614202
CLINT1,219,darkgrey,darkgrey,1,-0.33879237754314867,0.324628266681422,0.10045757059879597,0.27372384807899336,0.008258526576959795
SRSF4,220,darkgrey,darkgrey,1,-0.13110947097505798,0.3227522109266464,0.2684988806618709,0.06325874804251538,-0.21569368168896683
SEPTIN7,223,darkgrey,darkgrey,1,-0.41282907834506527,0.32105678365059603,0.10132053772574011,0.2565574138211097,-0.06700265426597216
HOOK3,215,darkgrey,darkgrey,1,-0.25503561270842495,0.31299867340476467,0.1281839253714492,0.23846689845907687,0.026866609556632257
CRADD,220,darkgrey,darkgrey,1,-0.2771786646550492,0.3097113633500336,0.15877970820944975,0.1748317408483969,0.04218790410409936
TAF15,223,darkgrey,darkgrey,1,-0.18156052592195115,0.3067881699264116,0.24393896524256659,0.1170661357803505,-0.3327585056535506
KIAA0232,218,darkgrey,darkgrey,1,-0.2213885085074595,0.3011981228618374,0.16313000677683576,0.18710772956455535,-0.08328697305334708
SEC63,218,darkgrey,darkgrey,1,-0.32811162469908495,0.29797599576656336,0.07554213679780074,0.25853181990314816,-0.06156424180496406
HIBCH,218,darkgrey,darkgrey,1,-0.19919447778486812,0.29631266162642017,0.19312516575245608,0.17391740061867658,-0.12915685837776583
TGOLN2,222,darkgrey,darkgrey,1,-0.33760708088674996,0.2935800497886106,0.0664122819133322,0.23845769461179425,0.11461983154910885
MAP3K2,222,darkgrey,darkgrey,1,-0.22155044843732452,0.2932321406655977,0.16007613181091546,0.18991199964008063,-0.025426406455053913
RAPGEF2,223,darkgrey,darkgrey,1,-0.1298979902202109,0.2897683092773874,0.25210167440649395,0.029080640095862156,-0.06767527386229005
ANKH,216,darkgrey,darkgrey,1,-0.39557888720269685,0.28909972448631666,0.013341812120002678,0.3148623688358573,0.08027033099316436
DYNC1H1,222,darkgrey,darkgrey,1,0.041400010002316544,0.2884033149356548,0.3649470107288795,-0.16422444302444947,-0.0676977836735878
NPEPPS,218,darkgrey,darkgrey,1,-0.22417445064685632,0.2883550909482642,0.17612760086416626,0.16145397995696092,-0.06376266411823857
MDM2,221,darkgrey,darkgrey,1,-0.1077111555632624,0.2829712585810365,0.22728677923211363,0.072198834896131,-0.06531211951638734
ATXN2,222,darkgrey,darkgrey,1,-0.061304522935405066,0.2811006210340064,0.30439882948158986,-0.05277733201254066,-0.06966548659425427
BAZ2B,220,darkgrey,darkgrey,1,-0.30241125214142406,0.263639684285593,0.10496562228119073,0.1668041562938219,0.10597897783179822
PPP2R5A,220,darkgrey,darkgrey,1,-0.20870671233126606,0.25905880958637484,0.13299750479145445,0.19007737952397236,-0.14313104238114735
ANKS1A,217,darkgrey,darkgrey,1,-0.2429380280665936,0.2531396321034743,0.12262200556516142,0.16417022652024948,-0.09598814980607004
EIF4A2,222,darkgrey,darkgrey,1,-0.2329663443853407,0.2486777875033859,0.09874323072366378,0.25937429366857745,-0.17223523434213067
ATP2A2,220,darkgrey,darkgrey,1,-0.08867626329185904,0.24769841204732226,0.1711741391976923,0.10551166799867948,-0.06959897482155213
