,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
PTGES3,223,black,black,0,0.5543690519172259,-0.4422400489728523,-0.13525249990817526,-0.28033994558032455,-0.32571637362070693
VMP1,223,black,black,0,0.5056483475699225,-0.04204355344201287,0.36851918700727926,-0.5637642010481893,-0.23191087880226532
MT-ND6,223,black,black,0,0.5003777084241268,-0.6564740383488457,-0.3811598653769661,-0.3798517015940601,0.374795232954626
HSP90AB1,223,black,black,0,0.49377351461938596,-0.4987732699370579,-0.2918203891131119,-0.1477722129315649,-0.07204988655763474
HSPA8,221,black,black,0,0.4583220204023624,-0.4182410840406711,-0.17734928086867308,-0.2615265367093166,-0.2795993641693832
UBE2H,223,black,black,0,0.45810299062433296,0.0671223578043949,0.4060787741697599,-0.4096305799238278,-0.29914577840258644
ARIH1,223,black,black,0,0.4544267557599879,-0.03431515615279568,0.34839616847475974,-0.5028539625577333,-0.36590102975098543
SQSTM1,223,black,black,0,0.44602684920757835,-0.5705686280082686,-0.3675809256063439,-0.13396762984934488,-0.09950482368210563
HSPB1,205,black,black,0,0.4412362250147156,-0.48587981850428746,-0.2740303751816911,-0.15365302152540844,-0.07562332498347628
EIF3A,223,black,black,0,0.34200457425113606,-0.0011605419899913148,0.2129691625915477,-0.2773886843680639,-0.14276511393499147
B4GALT1,222,black,black,0,0.2612290063507457,-0.07116075778077184,0.13174405273458722,-0.20458490269774793,-0.24319076065377918
KIF1B,222,black,black,0,0.25726982980138796,0.03921252051788506,0.2047660621931296,-0.2686626712042403,0.07120283079137057
HSPE1,208,black,black,0,0.25484468526010123,-0.35967344682957175,-0.29967816272760456,0.008231449461657514,-0.22795905161038174
RTN4,222,black,black,0,0.21899767602181922,-0.1657274934944688,-0.015195628287228789,-0.17781021424454363,-0.12225278131013333
SLC25A3,222,black,black,0,0.17886909655256264,-0.3270619178348385,-0.32897936742879275,0.08364633161068577,0.17225590911748573
LYST,223,black,black,0,0.17068123100475532,-0.03921333256334409,0.05541802295626788,-0.023092543232639484,-0.43419013856024075
