,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
CTNNA1,21,lightgrey,lightgrey,7,-0.3541359942904289,0.31599524357552516,0.3355351971788582,0.5055824369071882,-0.09401244133007505,0.30031928358842314,0.6937938555130045,0.67357491454585,-0.3128993429147794,0.29935518688525825,0.1177372229992573
PKN2,23,lightgrey,lightgrey,7,-0.4906661351627366,0.17281066023359062,0.33434511836801556,0.5664452275534579,0.4545757415703565,0.4554292749641288,0.4858786093190645,0.6710981988577763,-0.16384208880898815,0.4424596653590026,0.1373945894703549
UBE3C,25,lightgrey,lightgrey,7,-0.5021857829232698,0.23614093716724419,0.6421905794297157,0.6492223492323084,0.18572272666281256,0.37768323390231023,0.7026979156378523,0.6462115547588471,-0.247059337312421,0.5061699372593063,0.15668324291814276
PATJ,23,lightgrey,lightgrey,7,-0.1945623899662366,0.2265208052721513,0.24738836077627394,0.3164785188762848,-0.10877912190008293,0.4150468062697657,0.21853894835136622,0.6239908004703569,-0.2359686444771003,0.2284995106462391,0.6349365417668629
RBM47,21,lightgrey,lightgrey,7,-0.3738077422795062,0.1316619334067085,0.688076782133309,0.546748869816021,0.48662757881630453,0.35350948019037903,0.3025747672703271,0.5947667443771233,-0.300693576154698,0.48240052668967204,0.23247495298023238
LBR,20,lightgrey,lightgrey,7,-0.36729429948234177,-0.011358360524798345,0.5289251252087366,0.4699239576918192,0.2578250107048038,0.17184472044928972,0.15492347567530268,0.49906811077491303,-0.1894950327832744,0.5899750796786937,0.17760656058136728
PDIA3,25,lightgrey,lightgrey,7,-0.3182540805969428,0.05027264963984351,0.17387933124523292,0.38780593192636154,-0.13747470106003948,0.3526878534468098,0.07832933823564023,0.48182545629950113,0.040336194990055335,0.3065192054710733,-0.10221944744149071
DAPK1,21,lightgrey,lightgrey,7,-0.5981948670447417,0.30499646866207375,0.24885113098582878,0.5370131802131481,-0.05844985773510379,0.3274378002407712,0.6961433501207965,0.3344223018353904,0.17137733689894483,0.2764373049560331,0.11388816207133347
ACAP2,25,lightgrey,lightgrey,7,-0.046127786242271755,0.13808586444506102,0.13448452388631882,0.1085200908700287,-0.010938083661892311,-0.07468220456499429,-0.028517444124313878,0.2574306083694282,0.13226749155578219,0.049141739625467626,-0.2159501568380401
MAPKAP1,22,lightgrey,lightgrey,7,-0.5136982835753909,0.09849514869343975,0.2117757328648236,0.4612741360523034,-0.032802631848745656,0.24653625080813318,0.46925582891766016,0.2572590584191292,0.25740658035654607,0.22705745810934955,0.09979894227499461
