,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
ATG10,23,gainsboro,gainsboro,5,-0.37574455397072,0.0644166678243339,0.33717430136133714,0.46517085208759723,0.003233356693466265,0.733950769527921,0.20817863468160847,0.6159498505024693,-0.2068525715727852,0.3707516626083805,0.1418034337530995
TOP2B,25,gainsboro,gainsboro,5,-0.32261179718217065,0.18868305359393192,0.37800069600705977,0.5257759498511712,0.18551335807172709,0.7330436433473079,0.26639202995735967,0.5636528865004858,-0.25648890530861407,0.5216297333287152,0.45412002570072413
CHD2,25,gainsboro,gainsboro,5,-0.3591823664407023,0.5866498647645793,0.5855434376258511,0.6341108907885089,0.43332083939869687,0.7307602718521731,0.6157437616478876,0.5719488432752748,-0.5062954758865426,0.6160859240630799,0.7747980330528321
RBM6,25,gainsboro,gainsboro,5,-0.0870873062088016,0.4996475991684062,0.5683978377906553,0.358916483434033,0.3057977213401018,0.7248027804824262,0.2991256310803745,0.4896946384284886,-0.711563090249961,0.5380445654565595,0.39208783755051413
HNRNPH1,23,gainsboro,gainsboro,5,-0.3559647105629831,0.18928012276304032,0.2627074728157568,0.43940137895053427,0.577598444349916,0.7244368569873069,0.347388038954424,0.22531200524457723,-0.19901063331754693,0.434671166637865,0.09258866386393487
HNRNPA2B1,25,gainsboro,gainsboro,5,-0.6242982928240504,0.400609211421469,0.3767666628366932,0.6552451598729597,0.009235536457919418,0.7215630065789912,0.49410783791312635,0.07881914579096232,0.059405655497528895,0.4615653136385314,0.17189860813605234
BCAS3,25,gainsboro,gainsboro,5,-0.4503193235808674,0.58687286332636,0.6260426044317592,0.6552449843806316,0.016909287568643364,0.7152790508982892,0.20260530333427562,0.561836312816632,-0.46973660386081234,0.696006543195783,0.3726469507616537
PIKFYVE,22,gainsboro,gainsboro,5,-0.45016733318827223,0.08197594870202606,0.4143306118207727,0.5742326315432852,0.013147878761063755,0.7139716127774438,0.45583708963267416,0.5793971139200271,-0.2654292114432803,0.4182542434175835,0.15836500240415302
ZMYM2,23,gainsboro,gainsboro,5,-0.27281696093776725,0.12838230732271372,0.3084691808420688,0.39930230826269564,-0.050775471558178464,0.7102458131616043,0.20703968347671312,0.6004708268602267,-0.24707377527639443,0.27994661526584264,0.07424536668548506
COMMD10,23,gainsboro,gainsboro,5,-0.4556072272151083,0.5057723807176678,0.3054298374255382,0.5468484395977828,-0.009902853140789054,0.7082318568665499,0.561969983741209,0.3419757552310124,-0.20070094075300335,0.4492005461796728,0.05589480255732035
RAB6A,22,gainsboro,gainsboro,5,-0.34559253015621844,0.5186130504795028,0.3782544408184193,0.5105866398135858,-0.009471645242476652,0.6996139855392361,0.18024818185369224,0.5836658932684393,-0.35362250236818016,0.47030699864322395,0.14698216762738026
TLE1,23,gainsboro,gainsboro,5,-0.2789297090835484,0.5840392342319694,0.23097132306652782,0.39264451911853626,0.0904459180773081,0.6973927448654796,0.06452320020595116,0.09740005758467238,-0.257944016618187,0.39870807969880767,0.27323868229204623
BIRC6,25,gainsboro,gainsboro,5,-0.3064952591217564,0.19806253696251042,0.6246779727130338,0.5184330489226956,0.197405480268498,0.6927553090809327,0.4864406734588055,0.5822609048694916,-0.503119464916925,0.5057334528795486,0.1281344517728844
EVI5,21,gainsboro,gainsboro,5,-0.5415390427758554,0.43298089724306577,0.45858047777660504,0.6509528155480359,-0.0554904598441323,0.6878434039918635,0.5410331348657123,0.6290060882775431,-0.26726171366602114,0.6880410266486361,0.13117844781625615
EIF5,22,gainsboro,gainsboro,5,-0.35271886819011855,0.3963347009501352,0.3760910176305985,0.49809670129324707,0.5013883533980011,0.6878049545341305,0.5777904121936236,0.352629815660927,-0.3212842612160781,0.4742351289538352,0.13430380460546967
GLG1,25,gainsboro,gainsboro,5,-0.43120926004364524,0.4643789220091033,0.6233886366267261,0.6011938090036867,0.6469359806087238,0.6848790779238366,0.40029492953060625,0.33640641937663,-0.3083684749073306,0.5407090884575445,0.22286637810319537
SBF2,23,gainsboro,gainsboro,5,-0.21664910958035138,0.07300545447500299,0.33855701543678723,0.36189458618344944,0.09690456008599624,0.6843819677705363,0.12679835044943338,0.6109842772391927,-0.2967256647876859,0.28697855940773004,0.002973460672050636
SMG7,22,gainsboro,gainsboro,5,-0.3947578934823662,0.5755805323479085,0.36237167600209685,0.5405316985379299,0.014884673012594808,0.6830097274710806,0.22351238150158834,0.2956378028841093,-0.3712204212633401,0.7395752626669786,0.22249101417900513
CPD,23,gainsboro,gainsboro,5,-0.34182594115107057,0.10570950603552456,0.18010421873148794,0.38300097138607586,0.5602738424256118,0.678265817714768,0.27778111943479494,0.20703703104315888,-0.18595565211972934,0.4037303064410044,-0.005483363940262775
MED13L,25,gainsboro,gainsboro,5,-0.42611072631923136,0.6597301708043903,0.4550982144015584,0.6190105045270691,0.13102223828490306,0.6627844901021849,0.7158527347133907,0.36921677663007846,-0.44952516762109324,0.5948981627597525,0.3986747307456794
ANKRD11,25,gainsboro,gainsboro,5,0.004198436918126361,0.12485996573228768,0.3861691592717856,0.2366707513035491,0.1571274925078629,0.6566748842119018,0.07931945137283036,0.6705916583844085,-0.5166621564349205,0.2924410244122316,0.20870860534948152
CAST,25,gainsboro,gainsboro,5,-0.07590562428998764,0.395465349438963,0.16451649172605726,0.24437558909671123,0.2419980584361142,0.6550994405116777,-0.024676749837059662,0.13900957914834727,-0.37442849077966817,0.3492562514756655,0.4550757290666476
AC016831-7,23,gainsboro,gainsboro,5,-0.2684749854538021,0.08821752367927792,0.29297355146581616,0.3905269176026014,0.1059878042840103,0.6481185753494891,0.08964182994585108,0.20935003724486603,-0.2773248738550168,0.3939122101184864,0.1664125949754927
LRRFIP2,22,gainsboro,gainsboro,5,-0.356009845851585,0.4435737614341028,0.2732107854891575,0.4647396419795572,-0.044694722384883534,0.645901357480275,0.11677768696194882,0.5070243292112886,-0.2516047600277935,0.3894086546774177,0.07824545396751646
CLINT1,25,gainsboro,gainsboro,5,-0.5063205402148954,0.7181586628372526,0.6262603806638849,0.7529223202001694,0.33771840021271243,0.643896447299396,0.66869741067117,0.5962509751374238,-0.5189466428559156,0.8559992044783862,0.6801503458568382
