,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
AHNAK,25,black,black,0,0.8421252596959843,-0.3931838423346623,-0.4332629450281221,-0.8194879808147914,0.11191208177851,-0.4591398652964309,-0.6422932198383752,-0.3445005636141573,-0.039040156475455216,-0.4947575401948799,-0.5185122414279861
SYNE2,25,black,black,0,0.8379650463064033,-0.252985736357454,-0.1958854417172207,-0.7008940128080623,0.19349441057324324,-0.33950627045538156,-0.4509959874942312,-0.1071823184252117,-0.28546009692728197,-0.28095467891908,-0.08930507958750744
CNOT6L,25,black,black,0,0.8284889062898619,-0.5247585473211664,-0.43335217348635646,-0.8337139016386999,-0.07001223891502845,-0.5631694131106852,-0.5517263976289132,-0.34551196768040177,-0.01906509125024019,-0.629775836316906,-0.5088104475431069
BTG1,25,black,black,0,0.8230048931730526,-0.592153778128789,-0.6429153837814875,-0.9497724924659706,-0.13565695895522836,-0.7309407922688631,-0.6382922636632382,-0.534490964972209,0.28198676304849185,-0.8124980456699844,-0.4848186258460965
CMIP,25,black,black,0,0.8166161981639279,-0.21141470075157218,-0.14136701807665225,-0.5886495261040384,0.14449921248214537,-0.21307559175782165,-0.4281164644423743,0.04906328517732015,-0.4058186165611886,-0.2511881509673687,-0.3499101405075653
MYH9,25,black,black,0,0.8161088808073453,-0.5082264491860271,-0.4851282777868133,-0.8370421323432689,0.0904617536177794,-0.6709327858568912,-0.4644367120817808,-0.44401921395088445,0.10235518833838257,-0.645126050454915,-0.5493721840413774
FNBP1,25,black,black,0,0.8142725129710188,-0.2631848327568272,-0.21214825817289376,-0.652078095005212,0.35905173711261157,-0.3234614771083245,-0.3136030624404555,-0.14869739073781635,-0.29354474104606765,-0.28641035702408274,-0.24430070950276161
PARP8,25,black,black,0,0.7995924645789598,-0.4988817657703507,-0.5851481535978187,-0.8749187118866311,0.023481380823796416,-0.6852580363937498,-0.5077286470795224,-0.5220455314057821,0.24088262838739535,-0.7161194566353793,-0.44968148585909007
RNF213,25,black,black,0,0.7953474700805204,-0.3131038041479707,-0.3632156952475528,-0.7455534844900517,-0.040825414672693135,-0.500753970281668,-0.4865200423947797,-0.33586147653563164,-0.12760407489260234,-0.5292049839340768,-0.2001675269415313
SIK3,25,black,black,0,0.7802718739314407,-0.3371790655484279,-0.430721254662111,-0.6919580106913275,-0.0033738587790834774,-0.48961134917582605,-0.215566468688335,-0.0639474170562548,-0.17527871504525924,-0.4585633605437007,-0.012781054493951708
PACS1,25,black,black,0,0.7720539214369886,-0.42050231411105377,-0.3016090235575095,-0.6968404224924343,0.1254056867356762,-0.48533889466027635,-0.5126095269458023,-0.11128627025810693,0.009593455101170724,-0.5277464167023262,-0.3514804460998294
LRRFIP1,25,black,black,0,0.7701855943596746,-0.462736430207397,-0.49109402420418435,-0.8229153578415884,-0.06300823228533964,-0.5197746503533547,-0.6382067846293723,-0.5673213318135866,0.22734530189910276,-0.6304507389568064,-0.28993458828177593
SAMHD1,25,black,black,0,0.7698918525906684,-0.456291227759677,-0.4748227752656787,-0.7865398941626647,0.011458725531554918,-0.5719315381867931,-0.5900846425745777,-0.3095987158077515,-0.007014163846690751,-0.6366043157232286,-0.43892665041487033
MT-ATP8,25,black,black,0,0.7546005107026741,-0.3070326233940221,-0.3211629420921593,-0.6939002130682295,0.18731693449470654,-0.3629915273640158,-0.33426046325854286,-0.2159162237102654,-0.2893158142368081,-0.3616189750752013,-0.26846279631449155
PHACTR2,25,black,black,0,0.7506747193109508,-0.5123139985698404,-0.5394971034282009,-0.7314025695253036,-0.18347065865279535,-0.48930395263654486,-0.39429538357421823,-0.2186689693220074,-0.00600867653176132,-0.6049363769036846,-0.21902453245338996
AUTS2,25,black,black,0,0.7338364738180699,-0.1794569637928265,-0.33312818590389504,-0.6492228210794987,-0.04629337032510119,-0.43498482743087663,-0.3198693350975088,-0.1460358504426589,-0.09135611575319295,-0.4950773196940418,-0.23828670394006984
CEMIP2,25,black,black,0,0.7274615758315023,-0.4610745766692256,-0.5652607845117937,-0.7557032256847955,-0.2325693434573977,-0.5965968854130145,-0.5078665598045465,-0.31733797191557006,0.05222570280228915,-0.6318994337743261,-0.37499840405458096
PRKCH,24,black,black,0,0.7269599308577881,-0.47094525195077935,-0.45390525781945795,-0.7384530317503201,-0.1269683407129644,-0.5450789556374226,-0.4515794393908192,-0.3200611439620085,0.04588954211555449,-0.6028569359948889,-0.34748795869115473
ARHGAP15,25,black,black,0,0.7251759356906297,-0.35854119501600507,-0.4958357422362164,-0.6921987569701465,0.15171659344438912,-0.2572688453838627,-0.30670870931634014,-0.17549571947861387,-0.12146038169446496,-0.3154648088510002,-0.15359532712474142
MBNL1,25,black,black,0,0.717320961413921,-0.3629000514990628,-0.5229033682626795,-0.751994892020173,-0.07764732389541455,-0.5532836809064701,-0.5123571318620794,-0.4808081368295107,0.17406089929443092,-0.6269058358044967,-0.3351233531288875
AAK1,25,black,black,0,0.7155531400557502,-0.2490811766995915,-0.16090982303952978,-0.5268448110783092,0.23044382572271002,-0.37096365004357656,-0.08409951045798779,-0.04644710308675795,-0.24144602168006832,-0.29704338636643235,-0.26414788674357287
SSH2,25,black,black,0,0.7110975337356417,-0.4290463251599618,-0.4257916816350042,-0.7336946387699685,0.28148637045516395,-0.48788106358702343,-0.17913337282213015,-0.36822218128400397,0.10588760609093818,-0.5884680912034084,-0.330869875511579
DNAJB6,25,black,black,0,0.7076278625889582,-0.297082246525562,-0.3370255431878924,-0.6082640741406713,-0.015944656272479575,-0.179671546960119,-0.3952777711340677,-0.18329569524263312,-0.12439839422835666,-0.4201830566890299,0.019169779926663674
JUN,25,black,black,0,0.700131113837696,-0.5992314737992847,-0.6405372805067903,-0.8471560349793122,-0.26393244199963395,-0.7475317209386415,-0.5430450693455402,-0.43699765454058564,0.2604719339388344,-0.7699917792912333,-0.3443094738137847
IQGAP2,25,black,black,0,0.6788624317662506,0.047620208914703914,-0.035236674514983295,-0.51571801271764,-0.001494834065771243,-0.3977995721109414,-0.4563207930637096,-0.11948180840959412,-0.20795685311325862,-0.290910565519738,-0.0502668465466978
HSPA8,25,black,black,0,0.6785156155753876,-0.48858199707629646,-0.28233023808810664,-0.5591218221118824,-0.0372403694256363,-0.2477790887007467,-0.3733499068964391,-0.13472196002999662,-0.22950863542048425,-0.4021720471807641,-0.2606932970850456
BAZ1A,25,black,black,0,0.674463169151211,-0.348369550305174,-0.10908101177325465,-0.5887616539256075,0.07519293832957281,-0.4275209317876812,-0.3798347629049839,-0.0808391627812978,-0.12225881938054801,-0.34224586010827995,-0.0440171682803148
ARHGAP26,25,black,black,0,0.6652332084493022,-0.42650208641513215,-0.38437901103511996,-0.7193689074301155,0.027578729275255842,-0.619807997624197,-0.4162141728519285,-0.4225238610712616,0.24036181886123884,-0.5364960179902892,-0.2826622067411606
LITAF,25,black,black,0,0.6584113967714635,-0.2793912719438407,-0.40375602513078757,-0.634628478542204,-0.22587314987380694,-0.44684829954120353,-0.3928920454536708,-0.06430957797210175,-0.07722019149324036,-0.5521355196950393,0.0772023628855532
ZNF609,25,black,black,0,0.6460994606409077,0.04581726341268923,-0.12581122447671736,-0.49776153413192753,0.022995004413922538,-0.251375703093642,-0.47255732301171655,-0.03385749116288339,-0.28514894161535304,-0.2566176875578429,-0.26772278312918657
STIM1,25,black,black,0,0.6451556337453273,-0.32379864866662184,-0.13201770517784198,-0.5412671953908129,0.02042299786225688,-0.26456429490229205,-0.4231530922419906,-0.07028818547492083,-0.21443246715532435,-0.36371628340467566,-0.27639258780971493
PLCB1,24,black,black,0,0.6327716768383583,-0.4897679655213098,-0.5506863143481525,-0.6914052952929663,-0.18914668688117947,-0.5961163075225313,-0.44218454578663624,-0.3556695131549104,0.14224604826017173,-0.6230310531808396,-0.44408670944133816
HMGB1,25,black,black,0,0.6242013940361366,-0.17738479725689127,-0.3331802680123034,-0.5708031645736847,-0.24785410305633265,-0.2307221298116617,-0.38314640155339247,-0.35299098864069733,-0.04730990098937139,-0.3966787770849145,-0.31664742147074293
