"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1980.1","MA1980.1",5,4385,18.5185185185185,10.9625,1.68926052620465,0.167495662784022,"ZNF418",0.487243567386286
"MA1550.1","MA1550.1",4,3214,14.8148148148148,8.035,1.84378529120284,0.167577989939214,"PPARD",0.487243567386286
"MA1562.1","MA1562.1",2,1097,7.40740740740741,2.7425,2.70096897261893,0.168640802582848,"SOX14",0.488282156432346
"MA0660.1","MA0660.1",4,3236,14.8148148148148,8.09,1.83125028613286,0.170505647879429,"MEF2B",0.490015287369658
"MA0688.1","MA0688.1",4,3242,14.8148148148148,8.105,1.82786117394384,0.171307496453096,"TBX2",0.490015287369658
"MA0764.3","MA0764.3",3,2128,11.1111111111111,5.32,2.08855472013367,0.171402435985081,"ETV4",0.490015287369658
"MA0442.2","MA0442.2",5,4428,18.5185185185185,11.07,1.67285623473519,0.172398518157613,"SOX10",0.490015287369658
"MA1537.1","MA1537.1",4,3256,14.8148148148148,8.14,1.82000182000182,0.173184081441156,"NR2F1.1",0.490015287369658
"MA1942.1","MA1942.1",6,5662,22.2222222222222,14.155,1.56992032654343,0.173488071395327,"ETV2::FOXI1",0.490015287369658
"MA1719.1","MA1719.1",5,4455,18.5185185185185,11.1375,1.66271771210043,0.175508044885699,"ZNF816",0.493528117138167
"MA1950.1","MA1950.1",6,5688,22.2222222222222,14.22,1.56274417877793,0.176158157417814,"FLI1::FOXI1",0.493528117138167
"MA0598.3","MA0598.3",9,9580,33.3333333333333,23.95,1.39178844815588,0.177539101705845,"EHF",0.494841395910187
"MA1500.1","MA1500.1",2,1136,7.40740740740741,2.84,2.60824204486176,0.178057091880978,"HOXB6",0.494841395910187
"MA1473.1","MA1473.1",3,2178,11.1111111111111,5.445,2.04060810121416,0.179826600584786,"CDX4",0.497760030418688
"MA0805.1","MA0805.1",4,3315,14.8148148148148,8.2875,1.78760963074689,0.181177138830736,"TBX1",0.499500319007446
"MA1466.1","MA1466.1",2,1179,7.40740740740741,2.9475,2.51311532057927,0.18854023710312,"ATF6",0.516764151023209
"MA1953.1","MA1953.1",6,5810,22.2222222222222,14.525,1.52992924077261,0.188932558105306,"FOXO1::ELF1",0.516764151023209
"MA0756.2","MA0756.2",1,314,3.7037037037037,0.785,4.71809389006841,0.191727271984577,"ONECUT2",0.52088074756537
"MA0664.1","MA0664.1",2,1195,7.40740740740741,2.9875,2.47946691461336,0.192465299279346,"MLXIPL",0.52088074756537
"MA1635.1","MA1635.1",4,3402,14.8148148148148,8.505,1.74189474600997,0.193203166387703,"BHLHE22",0.52088074756537
"MA0861.1","MA0861.1",2,1199,7.40740740740741,2.9975,2.47119513174559,0.193448485728757,"TP73",0.52088074756537
"MA0156.3","MA0156.3",3,2275,11.1111111111111,5.6875,1.95360195360195,0.196506281698253,"FEV",0.527063360213918
"MA0903.1","MA0903.1",2,1217,7.40740740740741,3.0425,2.43464499832618,0.197881915169918,"HOXB3",0.527983784319863
"MA0526.4","MA0526.4",2,1219,7.40740740740741,3.0475,2.43065050284082,0.19837541029359,"USF2",0.527983784319863
"MA0663.1","MA0663.1",2,1242,7.40740740740741,3.105,2.38563845649192,0.204062754336358,"MLX",0.538961719901275
"MA1978.1","MA1978.1",5,4701,18.5185185185185,11.7525,1.5757088720288,0.204881686863144,"ZNF354A",0.538961719901275
"MA1494.1","MA1494.1",3,2326,11.1111111111111,5.815,1.91076717301997,0.205439250410018,"HNF4A",0.538961719901275
"MA0691.1","MA0691.1",3,2327,11.1111111111111,5.8175,1.90994604402426,0.205615453835168,"TFAP4",0.538961719901275
"MA0777.1","MA0777.1",1,343,3.7037037037037,0.8575,4.31918799265738,0.207528950922814,"MYBL2",0.541924656749386
"MA1148.1","MA1148.1",4,3512,14.8148148148148,8.78,1.68733653927276,0.208790096758646,"PPARA::RXRA",0.543168221642793
"MA0831.3","MA0831.3",2,1267,7.40740740740741,3.1675,2.33856587447748,0.210268411333448,"TFE3",0.544965320759348
"MA0875.1","MA0875.1",2,1274,7.40740740740741,3.185,2.3257166114309,0.212010108403985,"BARX1",0.547429085878947
"MA0679.2","MA0679.2",3,2378,11.1111111111111,5.945,1.86898420708345,0.214652530404172,"ONECUT1",0.550847472049284
"MA1588.1","MA1588.1",3,2380,11.1111111111111,5.95,1.86741363211951,0.215008895762782,"ZNF136",0.550847472049284
"MA0759.2","MA0759.2",3,2384,11.1111111111111,5.96,1.86428038777032,0.215722059140688,"ELK3",0.550847472049284
