"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0828.2","MA0828.2",1,914,7.14285714285714,2.285,3.12597686777118,0.276507223129142,"SREBF2.1",0.882361998138358
"MA0641.1","MA0641.1",2,2952,14.2857142857143,7.38,1.93573364305072,0.276752678637608,"ELF4",0.882361998138358
"MA1584.1","MA1584.1",2,2954,14.2857142857143,7.385,1.93442305832286,0.277020368514214,"ZIC5",0.882361998138358
"MA0715.1","MA0715.1",2,2956,14.2857142857143,7.39,1.933114247052,0.277288066211376,"PROP1",0.882361998138358
"MA1513.1","MA1513.1",4,7737,28.5714285714286,19.3425,1.47713214793478,0.279375113525859,"KLF15",0.882361998138358
"MA1651.1","MA1651.1",2,2974,14.2857142857143,7.435,1.92141416082237,0.279697675712667,"ZFP42",0.882361998138358
"MA0464.2","MA0464.2",1,932,7.14285714285714,2.33,3.06560392397302,0.28115864748839,"BHLHE40",0.882361998138358
"MA1568.1","MA1568.1",1,940,7.14285714285714,2.35,3.03951367781155,0.283217020621159,"TCF21",0.882361998138358
"MA0612.2","MA0612.2",1,951,7.14285714285714,2.3775,3.00435631665916,0.286038348108224,"EMX1",0.882361998138358
"MA0009.2","MA0009.2",1,960,7.14285714285714,2.4,2.97619047619048,0.288339033295905,"TBXT",0.882361998138358
"MA0516.3","MA0516.3",4,7893,28.5714285714286,19.7325,1.4479375938897,0.292622817373597,"SP2",0.882361998138358
"MA0822.1","MA0822.1",1,978,7.14285714285714,2.445,2.92141396435875,0.292919765279065,"HES7",0.882361998138358
"MA1519.1","MA1519.1",1,983,7.14285714285714,2.4575,2.90655427990118,0.294187323252818,"LHX5",0.882361998138358
"MA1683.1","MA1683.1",2,3087,14.2857142857143,7.7175,1.85108056828173,0.294832958622433,"FOXA3",0.882361998138358
"MA0482.2","MA0482.2",2,3087,14.2857142857143,7.7175,1.85108056828173,0.294832958622433,"GATA4",0.882361998138358
"MA1935.1","MA1935.1",3,5475,21.4285714285714,13.6875,1.56555772994129,0.298417578365198,"ERF::FOXI1",0.882361998138358
"MA0102.4","MA0102.4",2,3136,14.2857142857143,7.84,1.82215743440233,0.301396754277051,"CEBPA",0.882361998138358
"MA0804.1","MA0804.1",1,1014,7.14285714285714,2.535,2.81769512538743,0.301999206772162,"TBX19",0.882361998138358
"MA0665.1","MA0665.1",2,3144,14.2857142857143,7.86,1.81752090149037,0.302468237917202,"MSC",0.882361998138358
"MA0642.2","MA0642.2",1,1020,7.14285714285714,2.55,2.80112044817927,0.3035018797274,"EN2",0.882361998138358
"MA0740.2","MA0740.2",4,8022,28.5714285714286,20.055,1.42465363108594,0.303686165739186,"KLF14",0.882361998138358
"MA0699.1","MA0699.1",1,1021,7.14285714285714,2.5525,2.798376941374,0.303752032977369,"LBX2",0.882361998138358
"MA0492.1","MA0492.1",2,3155,14.2857142857143,7.8875,1.81118406158026,0.303941421033251,"JUND",0.882361998138358
"MA1129.1","MA1129.1",1,1026,7.14285714285714,2.565,2.78473962684489,0.305001548300707,"FOSL1::JUN.1",0.882361998138358
"MA1978.1","MA1978.1",3,5553,21.4285714285714,13.8825,1.54356718376167,0.306334247733341,"ZNF354A",0.882361998138358
"MA0891.1","MA0891.1",1,1036,7.14285714285714,2.59,2.75785990071704,0.307494334576542,"GSC2",0.882361998138358
"MA0810.1","MA0810.1",2,3184,14.2857142857143,7.96,1.79468772433597,0.307824538362911,"TFAP2A",0.882361998138358
"MA0648.1","MA0648.1",1,1041,7.14285714285714,2.6025,2.74461369562234,0.308737611933108,"GSC",0.882361998138358
"MA1982.1","MA1982.1",2,3203,14.2857142857143,8.0075,1.78404174657687,0.31036794660287,"ZNF574",0.882361998138358
"MA1976.1","MA1976.1",4,8106,28.5714285714286,20.265,1.40989038102288,0.310938023265021,"ZNF320",0.882361998138358
"MA0106.3","MA0106.3",1,1055,7.14285714285714,2.6375,2.708192281652,0.312207770748692,"TP53",0.882361998138358
"MA1111.1","MA1111.1",2,3223,14.2857142857143,8.0575,1.77297105624751,0.31304449055355,"NR2F2",0.882361998138358
"MA1560.1","MA1560.1",1,1059,7.14285714285714,2.6475,2.69796303790638,0.313196269475735,"SOHLH2",0.882361998138358
"MA1480.1","MA1480.1",1,1079,7.14285714285714,2.6975,2.64795445518337,0.31811900558026,"DPRX",0.882361998138358
"MA0079.5","MA0079.5",4,8212,28.5714285714286,20.53,1.39169160114119,0.320138149449497,"SP1",0.882361998138358
"MA0654.1","MA0654.1",1,1091,7.14285714285714,2.7275,2.61882938326568,0.321056899575294,"ISX",0.882361998138358
"MA0741.1","MA0741.1",4,8237,28.5714285714286,20.5925,1.38746769801766,0.322315423465176,"KLF16",0.882361998138358
"MA1942.1","MA1942.1",3,5711,21.4285714285714,14.2775,1.50086299622283,0.322444381431653,"ETV2::FOXI1",0.882361998138358
"MA0838.1","MA0838.1",1,1099,7.14285714285714,2.7475,2.5997660210581,0.323008960976987,"CEBPG",0.882361998138358
"MA0484.2","MA0484.2",2,3300,14.2857142857143,8.25,1.73160173160173,0.323340193173497,"HNF4G",0.882361998138358
