"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1709.1","MA1709.1",6,5023,16.2162162162162,12.5575,1.29135705484501,0.317667065390096,"ZIM3",0.454185143078402
"MA0683.1","MA0683.1",3,2149,8.10810810810811,5.3725,1.50918717693962,0.31985823825855,"POU4F2",0.456375053350344
"MA1983.1","MA1983.1",4,3100,10.8108108108108,7.75,1.3949433304272,0.321744268514958,"ZNF582",0.458121468749694
"MA0147.3","MA0147.3",3,2163,8.10810810810811,5.4075,1.49941897514713,0.323462703511268,"MYC",0.45962256843901
"MA0755.1","MA0755.1",1,425,2.7027027027027,1.0625,2.54372019077901,0.326594297675936,"CUX2",0.462115513608809
"MA1964.1","MA1964.1",4,3124,10.8108108108108,7.81,1.38422673633941,0.326901397111172,"SMAD2",0.462115513608809
"MA0101.1","MA0101.1",4,3128,10.8108108108108,7.82,1.38245662542338,0.327761733467598,"REL",0.462115513608809
"MA1504.1","MA1504.1",2,1266,5.40540540540541,3.165,1.70786900644721,0.32788831962706,"HOXC4",0.462115513608809
"MA1419.1","MA1419.1",3,2187,8.10810810810811,5.4675,1.48296444592741,0.329644673590897,"IRF4",0.463646573424595
"MA1544.1","MA1544.1",1,436,2.7027027027027,1.09,2.47954376394743,0.333488367260689,"OVOL1",0.468101318751312
"MA0829.2","MA0829.2",3,2210,8.10810810810811,5.525,1.46753087929559,0.335571221560406,"SREBF1.1",0.470071427772877
"MA0664.1","MA0664.1",2,1292,5.40540540540541,3.23,1.67350012551251,0.336768916463167,"MLXIPL",0.470475975125837
"MA1545.1","MA1545.1",1,442,2.7027027027027,1.105,2.44588479882598,0.337219774078635,"OVOL2",0.470475975125837
"MA0892.1","MA0892.1",2,1297,5.40540540540541,3.2425,1.66704869866011,0.338473392976746,"GSX1",0.470722023232429
"MA0754.2","MA0754.2",1,445,2.7027027027027,1.1125,2.42939568782265,0.339077847580143,"CUX1",0.470722023232429
"MA0790.1","MA0790.1",3,2225,8.10810810810811,5.5625,1.45763741269359,0.339436834671939,"POU4F1",0.470722023232429
"MA1478.1","MA1478.1",2,1306,5.40540540540541,3.265,1.65556061421299,0.341538569108087,"DMRTA2",0.472215980108727
"MA0669.1","MA0669.1",2,1307,5.40540540540541,3.2675,1.65429392667342,0.341878910454439,"NEUROG2",0.472215980108727
"MA0833.2","MA0833.2",3,2255,8.10810810810811,5.6375,1.43824534068437,0.347167484865382,"ATF4",0.478565536906064
"MA0508.3","MA0508.3",7,6216,18.9189189189189,15.54,1.21743364986608,0.34962754312608,"PRDM1",0.480998528515403
"MA1585.1","MA1585.1",2,1348,5.40540540540541,3.37,1.60397786510546,0.355789753483898,"ZKSCAN1",0.488464375725111
"MA0526.4","MA0526.4",2,1350,5.40540540540541,3.375,1.6016016016016,0.356466054539279,"USF2",0.488464375725111
"MA1553.1","MA1553.1",2,1354,5.40540540540541,3.385,1.59687013453631,0.357817985922535,"RARG",0.488801749054706
"MA0663.1","MA0663.1",2,1355,5.40540540540541,3.3875,1.595691632592,0.358155827961675,"MLX",0.488801749054706
"MA0823.1","MA0823.1",2,1357,5.40540540540541,3.3925,1.59333983947101,0.358831341791605,"HEY1",0.488801749054706
"MA1588.1","MA1588.1",3,2321,8.10810810810811,5.8025,1.39734736891135,0.364159582717789,"ZNF136",0.495085326602574
"MA0161.2","MA0161.2",4,3306,10.8108108108108,8.265,1.30802308660748,0.366205363539511,"NFIC",0.496890414841846
"MA1642.1","MA1642.1",4,3323,10.8108108108108,8.3075,1.30133142471391,0.369885753253162,"NEUROG2.1",0.500508947652788
"MA0502.2","MA0502.2",4,3325,10.8108108108108,8.3125,1.30054866896972,0.370318758956976,"NFYB",0.500508947652788
"MA1468.1","MA1468.1",2,1402,5.40540540540541,3.505,1.54219840382465,0.373967375361472,"ATOH7",0.504455017056801
"MA1950.1","MA1950.1",6,5355,16.2162162162162,13.3875,1.21129532894239,0.374928382745196,"FLI1::FOXI1",0.504767394668629
"MA0719.1","MA0719.1",2,1451,5.40540540540541,3.6275,1.49011865069756,0.390299072190374,"RHOXF1",0.524440695059686
"MA1550.1","MA1550.1",4,3438,10.8108108108108,8.595,1.25780230492272,0.39477186964468,"PPARD",0.529422739911082
"MA0138.2","MA0138.2",6,5511,16.2162162162162,13.7775,1.17700716503112,0.402171625078861,"REST",0.538303219641338
"MA1707.1","MA1707.1",2,1490,5.40540540540541,3.725,1.45111554507528,0.40317414752755,"DMRTA1",0.538603301330241
"MA1479.1","MA1479.1",2,1509,5.40540540540541,3.7725,1.4328443751903,0.409404061015753,"DMRTC2",0.545872081354338
"MA0686.1","MA0686.1",2,1541,5.40540540540541,3.8525,1.40309030639985,0.419830214866662,"SPDEF",0.558697132091789
"MA0711.1","MA0711.1",1,590,2.7027027027027,1.475,1.83234081539166,0.423087312019677,"OTX1",0.561056507204727
"MA0466.3","MA0466.3",1,592,2.7027027027027,1.48,1.82615047479912,0.424170083895241,"CEBPB",0.561056507204727
"MA0160.2","MA0160.2",3,2558,8.10810810810811,6.395,1.26788242503645,0.424606164229995,"NR4A2",0.561056507204727
"MA0678.1","MA0678.1",1,594,2.7027027027027,1.485,1.82000182000182,0.42525087840667,"OLIG2",0.561056507204727
