"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0258.2","MA0258.2",0,3516,0,8.79,0,1,"ESR2",1
"MA0137.3","MA0137.3",0,3970,0,9.925,0,1,"STAT1",1
"MA0144.2","MA0144.2",0,4772,0,11.93,0,1,"STAT3",1
"MA0140.2","MA0140.2",0,1797,0,4.4925,0,1,"GATA1::TAL1",1
"MA0593.1","MA0593.1",0,4676,0,11.69,0,1,"FOXP2",1
"MA0595.1","MA0595.1",0,2599,0,6.4975,0,1,"SREBF1",1
"MA0596.1","MA0596.1",0,2383,0,5.9575,0,1,"SREBF2",1
"MA0610.1","MA0610.1",0,1382,0,3.455,0,1,"DMRT3",1
"MA0613.1","MA0613.1",0,3677,0,9.1925,0,1,"FOXG1",1
"MA0618.1","MA0618.1",0,1436,0,3.59,0,1,"LBX1",1
"MA0628.1","MA0628.1",0,876,0,2.19,0,1,"POU6F1",1
"MA0630.1","MA0630.1",0,1265,0,3.1625,0,1,"SHOX",1
"MA0634.1","MA0634.1",0,1385,0,3.4625,0,1,"ALX3",1
"MA0635.1","MA0635.1",0,553,0,1.3825,0,1,"BARHL2",1
"MA0636.1","MA0636.1",0,958,0,2.395,0,1,"BHLHE41",1
"MA0638.1","MA0638.1",0,1338,0,3.345,0,1,"CREB3",1
"MA0639.1","MA0639.1",0,1042,0,2.605,0,1,"DBP",1
"MA0027.2","MA0027.2",0,985,0,2.4625,0,1,"EN1",1
"MA0042.2","MA0042.2",0,2157,0,5.3925,0,1,"FOXI1",1
"MA0033.2","MA0033.2",0,2157,0,5.3925,0,1,"FOXL1",1
"MA0647.1","MA0647.1",0,869,0,2.1725,0,1,"GRHL1",1
"MA0649.1","MA0649.1",0,1314,0,3.285,0,1,"HEY2",1
"MA0131.2","MA0131.2",0,2598,0,6.495,0,1,"HINFP",1
"MA0046.2","MA0046.2",0,2339,0,5.8475,0,1,"HNF1A",1
"MA0153.2","MA0153.2",0,1965,0,4.9125,0,1,"HNF1B",1
"MA0486.2","MA0486.2",0,2148,0,5.37,0,1,"HSF1",1
"MA0652.1","MA0652.1",0,3188,0,7.97,0,1,"IRF8",1
"MA0653.1","MA0653.1",0,4121,0,10.3025,0,1,"IRF9",1
"MA0654.1","MA0654.1",0,1022,0,2.555,0,1,"ISX",1
"MA0656.1","MA0656.1",0,1700,0,4.25,0,1,"JDP2.1",1
"MA0657.1","MA0657.1",0,3105,0,7.7625,0,1,"KLF13",1
"MA0658.1","MA0658.1",0,828,0,2.07,0,1,"LHX6",1
"MA0660.1","MA0660.1",0,3317,0,8.2925,0,1,"MEF2B",1
