"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0861.1","MA0861.1",17,1225,2.4745269286754,3.0625,0.808008793036865,0.84535027789776,"TP73",0.915465402668622
"MA0612.2","MA0612.2",11,832,1.60116448326055,2.08,0.769790616952189,0.847712997755847,"EMX1",0.916589678823509
"MA0681.2","MA0681.2",53,3504,7.71470160116448,8.76,0.880673698763069,0.85265900433744,"PHOX2B",0.920499268333086
"MA1125.1","MA1125.1",98,6257,14.2649199417758,15.6425,0.911933510741623,0.854794245518734,"ZNF384",0.920845185167263
"MA1137.1","MA1137.1",52,3448,7.56914119359534,8.62,0.878090625707116,0.855736487583451,"FOSL1::JUNB",0.920845185167263
"MA0806.1","MA0806.1",35,2392,5.09461426491994,5.98,0.851942184769221,0.858302231839429,"TBX4",0.920845185167263
"MA0807.1","MA0807.1",35,2392,5.09461426491994,5.98,0.851942184769221,0.858302231839429,"TBX5",0.920845185167263
"MA1636.1","MA1636.1",40,2714,5.82241630276565,6.785,0.858130626789336,0.862898131119487,"CEBPG.1",0.924342889682175
"MA1495.1","MA1495.1",11,861,1.60116448326055,2.1525,0.743862709993288,0.875686999826147,"HOXA1",0.93526730077191
"MA1708.1","MA1708.1",72,4724,10.4803493449782,11.81,0.88741315368147,0.875799437717048,"ETV7",0.93526730077191
"MA0068.2","MA0068.2",7,588,1.01892285298399,1.47,0.693144797948291,0.879936280381919,"PAX4",0.938237143334805
"MA1132.1","MA1132.1",38,2626,5.53129548762737,6.565,0.842543105503026,0.88323308079872,"JUN::JUNB",0.94030352601956
"MA0723.2","MA0723.2",10,803,1.45560407569141,2.0075,0.725082976683144,0.884912584001271,"VAX2",0.940644405727925
"MA0479.1","MA0479.1",33,2316,4.80349344978166,5.79,0.82961890324381,0.88711333134291,"FOXH1",0.941537462100144
"MA0098.3","MA0098.3",40,2768,5.82241630276565,6.92,0.841389639127984,0.890857478099228,"ETS1",0.944063361171004
"MA0689.1","MA0689.1",53,3590,7.71470160116448,8.975,0.859576780074037,0.893178029065385,"TBX20",0.94507522341475
"MA0893.2","MA0893.2",11,886,1.60116448326055,2.215,0.722873355873839,0.896348391902815,"GSX2",0.946981812514119
"MA0892.1","MA0892.1",17,1312,2.4745269286754,3.28,0.754428941669329,0.908514264966802,"GSX1",0.95692105256913
"MA0158.2","MA0158.2",12,972,1.74672489082969,2.43,0.718816827501932,0.908521866384276,"HOXA5",0.95692105256913
